Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
216,Exit long,2025-12-11 16:50,Long Exit,1.17401,111111,130473.2029,-27.78,-0.02,1.11,0.00,-27.78,-0.02,-652.89,-0.01
216,Entry long,2025-12-11 16:45," | F:70,7,2,0,0.46,0,1,66.56,1,1.01,38.87",1.17426,111111,130473.2029,-27.78,-0.02,1.11,0.00,-27.78,-0.02,-652.89,-0.01
217,Exit long,2025-12-16 07:30,Long Exit,1.17503,142857,167882.6893,-21.43,-0.01,24.29,0.01,-21.43,-0.01,-674.32,-0.01
217,Entry long,2025-12-16 07:00," | F:75,10,0,0,0.23,1,1,47.12,1,1.07,12.76",1.17518,142857,167882.6893,-21.43,-0.01,24.29,0.01,-21.43,-0.01,-674.32,-0.01
218,Exit long,2025-12-16 20:15,Long Exit,1.1753,108696,127778.6698,-28.26,-0.02,1.09,0.00,-28.26,-0.02,-702.58,-0.01
218,Entry long,2025-12-16 20:10," | F:70,82,2,0,0.58,0,0,29.15,1,0.93,20.06",1.17556,108696,127778.6698,-28.26,-0.02,1.09,0.00,-28.26,-0.02,-702.58,-0.01
219,Exit long,2025-12-18 09:55,Long Exit,1.17387,89286,104842.2998,-32.14,-0.03,66.07,0.06,-32.14,-0.03,-734.72,-0.01
219,Entry long,2025-12-18 08:20," | F:70,21,0,0,0.74,0,1,48.31,1,1.26,14.98",1.17423,89286,104842.2998,-32.14,-0.03,66.07,0.06,-32.14,-0.03,-734.72,-0.01
220,Exit long,2025-12-19 20:10,Long Exit,1.17248,121951,142810.7185,174.39,0.12,174.39,0.12,0,0.00,-560.33,-0.01
220,Entry long,2025-12-19 18:00," | F:60,33,2,0,1.14,1,0,35.54,0,1.27,23.13",1.17105,121951,142810.7185,174.39,0.12,174.39,0.12,0,0.00,-560.33,-0.01
221,Exit long,2025-12-23 17:35,Long Exit,1.17673,68493,80634.06918,-36.3,-0.05,43.84,0.05,-36.3,-0.05,-596.63,-0.01
221,Entry long,2025-12-23 17:00," | F:70,163,2,0,0.37,0,0,40.19,1,1.27,44.98",1.17726,68493,80634.06918,-36.3,-0.05,43.84,0.05,-36.3,-0.05,-596.63,-0.01
222,Exit long,2025-12-23 20:45,Time Stop (Bars),1.17794,89286,105066.4076,107.14,0.10,116.07,0.11,-24.11,-0.02,-489.49,0.00
222,Entry long,2025-12-23 17:45," | F:75,190,2,0,0.32,1,0,37.94,1,0.82,36.16",1.17674,89286,105066.4076,107.14,0.10,116.07,0.11,-24.11,-0.02,-489.49,0.00
223,Exit long,2025-12-24 14:00,Long Exit,1.17908,75758,89359.59132,-34.85,-0.04,22.73,0.03,-34.85,-0.04,-524.34,-0.01
223,Entry long,2025-12-24 12:45," | F:75,26,1,0,0.95,0,1,47.29,1,1.16,14.65",1.17954,75758,89359.59132,-34.85,-0.04,22.73,0.03,-34.85,-0.04,-524.34,-0.01
224,Exit long,2025-12-29 18:15,Long Exit,1.17622,80645,94890.1328,-33.87,-0.04,12.1,0.01,-33.87,-0.04,-558.21,-0.01
224,Entry long,2025-12-29 18:00," | F:55,31,2,0,0.71,0,0,38.84,1,1.31,24.89",1.17664,80645,94890.1328,-33.87,-0.04,12.1,0.01,-33.87,-0.04,-558.21,-0.01
225,Exit long,2025-12-31 15:45,Long Exit,1.17431,119048,139825.4474,-26.19,-0.02,28.57,0.02,-26.19,-0.02,-584.4,-0.01
225,Entry long,2025-12-31 15:35," | F:65,21,2,0,0.72,0,1,42.9,1,1.72,33.36",1.17453,119048,139825.4474,-26.19,-0.02,28.57,0.02,-26.19,-0.02,-584.4,-0.01
226,Exit long,2026-01-14 18:30,Time Stop (Bars),1.16565,108696,126604.753,96.74,0.08,154.35,0.12,-23.91,-0.02,-487.66,0.00
226,Entry long,2026-01-14 15:30," | F:80,58,2,0,0.75,1,0,46.27,0,1.4,16.51",1.16476,108696,126604.753,96.74,0.08,154.35,0.12,-23.91,-0.02,-487.66,0.00
227,Exit long,2026-01-16 16:15,Long Exit,1.16142,121951,141661.9401,-25.61,-0.02,10.98,0.01,-25.61,-0.02,-513.27,-0.01
227,Entry long,2026-01-16 16:05," | F:80,10,2,0,1.25,1,1,47.78,0,0.95,11.22",1.16163,121951,141661.9401,-25.61,-0.02,10.98,0.01,-25.61,-0.02,-513.27,-0.01
228,Exit long,2026-01-16 17:35,Long Exit,1.16001,94340,109466.4756,-31.13,-0.03,4.72,0.00,-31.13,-0.03,-544.4,-0.01
228,Entry long,2026-01-16 17:30," | F:60,282,2,0,0.7,1,0,32.37,0,1.59,20.9",1.16034,94340,109466.4756,-31.13,-0.03,4.72,0.00,-31.13,-0.03,-544.4,-0.01
229,Exit short,2026-01-16 21:50,Short Exit,1.15973,128205,148658.8257,-24.36,-0.02,10.26,0.01,-24.36,-0.02,-568.76,-0.01
229,Entry short,2026-01-16 21:35," | F:70,10,2,1,0.91,0,0,47.73,0,1.1,16.26",1.15954,128205,148658.8257,-24.36,-0.02,10.26,0.01,-24.36,-0.02,-568.76,-0.01
