Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
557,Exit long,2025-09-16 16:15,Long Exit,3685.38,23,84809.05,-45.31,-0.05,20.47,0.02,-45.31,-0.05,-2054.66,-0.02
557,Entry long,2025-09-16 16:10," | F:70,81,2,0,0.4,0,1,35.05",3687.35,23,84809.05,-45.31,-0.05,20.47,0.02,-45.31,-0.05,-2054.66,-0.02
558,Exit long,2025-09-17 03:45,Long Exit,3692.25,19,70198.54,-45.79,-0.07,12.16,0.02,-45.79,-0.07,-2100.45,-0.02
558,Entry long,2025-09-17 03:05," | F:65,14,0,0,0.78,0,1,58.56",3694.66,19,70198.54,-45.79,-0.07,12.16,0.02,-45.79,-0.07,-2100.45,-0.02
559,Exit long,2025-09-18 22:45,Long Exit,3644.25,39,142018.89,106.86,0.08,106.86,0.08,-36.66,-0.03,-1993.59,-0.02
559,Entry long,2025-09-18 21:05," | F:55,27,2,0,0.86,0,0,38.33",3641.51,39,142018.89,106.86,0.08,106.86,0.08,-36.66,-0.03,-1993.59,-0.02
560,Exit short,2025-09-19 20:10,Short Exit,3670.75,26,95395.56,-43.94,-0.05,43.94,0.05,-43.94,-0.05,-2037.53,-0.02
560,Entry short,2025-09-19 19:45," | F:55,9,2,1,0.97,0,1,53.71",3669.06,26,95395.56,-43.94,-0.05,43.94,0.05,-43.94,-0.05,-2037.53,-0.02
561,Exit short,2025-09-22 11:00,Short Exit,3716.32,17,63129.5,-47.94,-0.08,20.23,0.03,-47.94,-0.08,-2085.47,-0.02
561,Entry short,2025-09-22 10:30," | F:50,9,1,1,1.53,0,1,65.32",3713.5,17,63129.5,-47.94,-0.08,20.23,0.03,-47.94,-0.08,-2085.47,-0.02
562,Exit long,2025-09-23 16:45,Long Exit,3780.42,9,34071.3,-47.52,-0.14,27.09,0.08,-47.52,-0.14,-2132.99,-0.02
562,Entry long,2025-09-23 16:30," | F:70,13,2,0,1.22,0,1,56.58",3785.7,9,34071.3,-47.52,-0.14,27.09,0.08,-47.52,-0.14,-2132.99,-0.02
563,Exit short,2025-09-23 21:50,Short Exit,3774.35,13,49166.91,100.36,0.20,100.36,0.20,-11.05,-0.02,-2032.63,-0.02
563,Entry short,2025-09-23 20:25," | F:55,46,2,1,0.62,0,1,56.41",3782.07,13,49166.91,100.36,0.20,100.36,0.20,-11.05,-0.02,-2032.63,-0.02
564,Exit long,2025-09-23 22:25,Long Exit,3759.19,21,78837.57,105.42,0.13,105.42,0.13,-2.52,0.00,-1927.21,-0.02
564,Entry long,2025-09-23 22:20," | F:75,145,2,0,0.4,0,0,28.42",3754.17,21,78837.57,105.42,0.13,105.42,0.13,-2.52,0.00,-1927.21,-0.02
565,Exit long,2025-09-24 04:45,Long Exit,3756.94,18,67670.46,-45.54,-0.07,27.72,0.04,-45.54,-0.07,-1972.75,-0.02
565,Entry long,2025-09-24 04:35," | F:50,64,0,0,1.81,0,0,42.14",3759.47,18,67670.46,-45.54,-0.07,27.72,0.04,-45.54,-0.07,-1972.75,-0.02
566,Exit long,2025-09-25 04:35,Long Exit,3740.42,17,63634.23,-47.09,-0.07,66.3,0.10,-47.09,-0.07,-2019.84,-0.02
566,Entry long,2025-09-25 04:15," | F:50,22,0,0,0.56,0,0,46.55",3743.19,17,63634.23,-47.09,-0.07,66.3,0.10,-47.09,-0.07,-2019.84,-0.02
567,Exit short,2025-09-25 10:25,Short Exit,3744.7,29,108552.22,-44.08,-0.04,24.36,0.02,-44.08,-0.04,-2063.92,-0.02
567,Entry short,2025-09-25 10:15," | F:65,9,1,1,0.72,0,1,57.37",3743.18,29,108552.22,-44.08,-0.04,24.36,0.02,-44.08,-0.04,-2063.92,-0.02
568,Exit long,2025-09-26 17:00,Long Exit,3768.95,7,26276.25,106.4,0.40,106.4,0.40,-36.82,-0.14,-1957.52,-0.02
568,Entry long,2025-09-26 15:30," | F:70,16,2,0,0.43,0,1,60.42",3753.75,7,26276.25,106.4,0.40,106.4,0.40,-36.82,-0.14,-1957.52,-0.02
569,Exit long,2025-09-30 03:00,Long Exit,3835.49,15,57430.65,101.7,0.18,101.7,0.18,-31.35,-0.05,-1855.82,-0.02
569,Entry long,2025-09-30 01:20," | F:70,23,3,0,1.08,0,1,47.52",3828.71,15,57430.65,101.7,0.18,101.7,0.18,-31.35,-0.05,-1855.82,-0.02
570,Exit long,2025-10-08 12:30,Long Exit,4033.21,12,48447.6,-49.08,-0.10,32.52,0.07,-49.08,-0.10,-1904.9,-0.02
570,Entry long,2025-10-08 12:00," | F:70,13,1,0,1.11,0,1,54.38",4037.3,12,48447.6,-49.08,-0.10,32.52,0.07,-49.08,-0.10,-1904.9,-0.02
571,Exit short,2025-10-09 16:10,Short Exit,4057.32,14,56754.04,-48.44,-0.09,0,0.00,-48.44,-0.09,-1953.34,-0.02
571,Entry short,2025-10-09 16:05," | F:50,228,2,1,0.55,0,1,70.13",4053.86,14,56754.04,-48.44,-0.09,0,0.00,-48.44,-0.09,-1953.34,-0.02
572,Exit long,2025-10-09 17:20,Long Exit,4012.42,5,20111.6,-49.5,-0.25,34.05,0.17,-49.5,-0.25,-2002.84,-0.02
572,Entry long,2025-10-09 17:00," | F:50,138,2,0,0.96,0,0,32.5",4022.32,5,20111.6,-49.5,-0.25,34.05,0.17,-49.5,-0.25,-2002.84,-0.02
573,Exit long,2025-10-14 04:20,Long Exit,4148.13,6,24786.78,102,0.41,102,0.41,-23.88,-0.10,-1900.84,-0.02
573,Entry long,2025-10-14 04:00," | F:70,9,0,0,0.94,0,1,64.19",4131.13,6,24786.78,102,0.41,102,0.41,-23.88,-0.10,-1900.84,-0.02
574,Exit long,2025-10-15 15:20,Time Stop (Bars),4182.93,2,8367.96,-2.1,-0.03,44.3,0.53,-7.98,-0.10,-1902.94,-0.02
574,Entry long,2025-10-15 12:20," | F:70,102,1,0,0.9,0,1,26.84",4183.98,2,8367.96,-2.1,-0.03,44.3,0.53,-7.98,-0.10,-1902.94,-0.02
