Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
64,Exit long,2023-11-07 22:05,Long Exit,1.69114,64103,108444.3272,-27.13,-0.03,31.8,0.04,-27.13,-0.03,-757.22,-0.01
64,Entry long,2023-11-07 21:25," | F:70,6,2,0,0.89,0,1,55.32,1,0,15.23",1.69172,64103,108444.3272,-27.13,-0.03,31.8,0.04,-27.13,-0.03,-757.22,-0.01
65,Exit short,2023-11-09 21:10,Short Exit,1.68732,60241,101783.1936,99.52,0.13,99.52,0.13,-5.67,-0.01,-657.7,-0.01
65,Entry short,2023-11-09 20:45," | F:70,19,2,1,0.77,0,0,51.74,1,0,17.72",1.6896,60241,101783.1936,99.52,0.13,99.52,0.13,-5.67,-0.01,-657.7,-0.01
66,Exit long,2023-11-13 18:05,Long Exit,1.69,63291,106999.1317,-27.05,-0.03,88.95,0.11,-27.05,-0.03,-684.75,-0.01
66,Entry long,2023-11-13 16:45," | F:75,53,2,0,0.65,0,1,32.89,1,0,21.91",1.69059,63291,106999.1317,-27.05,-0.03,88.95,0.11,-27.05,-0.03,-684.75,-0.01
67,Exit long,2023-11-17 16:20,Long Exit,1.70308,87719,149424.9305,-23.58,-0.02,0.64,0.00,-23.58,-0.02,-708.33,-0.01
67,Entry long,2023-11-17 16:15," | F:50,60,2,0,1.15,0,0,37.89,1,0,19.7",1.70345,87719,149424.9305,-23.58,-0.02,0.64,0.00,-23.58,-0.02,-708.33,-0.01
68,Exit long,2023-11-21 17:30,Long Exit,1.71596,43478,74647.81298,-30.07,-0.06,8.23,0.02,-30.07,-0.06,-738.4,-0.01
68,Entry long,2023-11-21 17:10," | F:70,168,2,0,0.38,0,0,36.73,1,0,25.42",1.71691,43478,74647.81298,-30.07,-0.06,8.23,0.02,-30.07,-0.06,-738.4,-0.01
69,Exit long,2023-11-22 16:10,Long Exit,1.71638,39063,67089.13998,-30.78,-0.06,6.27,0.01,-30.78,-0.06,-769.18,-0.01
69,Entry long,2023-11-22 16:05," | F:50,188,2,0,0.3,0,0,39.92,1,0,30.45",1.71746,39063,67089.13998,-30.78,-0.06,6.27,0.01,-30.78,-0.06,-769.18,-0.01
70,Exit long,2023-11-27 17:45,Long Exit,1.72004,39370,67760.1007,-30.87,-0.06,19.91,0.04,-30.87,-0.06,-800.05,-0.01
70,Entry long,2023-11-27 17:20," | F:75,74,2,0,0.64,0,1,44.92,1,0,11.83",1.72111,39370,67760.1007,-30.87,-0.06,19.91,0.04,-30.87,-0.06,-800.05,-0.01
71,Exit long,2023-11-29 16:45,Long Exit,1.72559,56818,97908.20942,100.42,0.14,100.42,0.14,0,0.00,-699.63,-0.01
71,Entry long,2023-11-29 15:45," | F:65,13,2,0,0.59,0,1,50.31,1,0,30.45",1.72319,56818,97908.20942,100.42,0.14,100.42,0.14,0,0.00,-699.63,-0.01
72,Exit short,2023-11-30 18:10,Short Exit,1.71749,53191,91315.64925,-28.95,-0.04,0,0.00,-28.95,-0.04,-728.58,-0.01
72,Entry short,2023-11-30 18:05," | F:75,19,2,1,0.98,0,0,52.7,0,0,32.89",1.71675,53191,91315.64925,-28.95,-0.04,0,0.00,-28.95,-0.04,-728.58,-0.01
73,Exit long,2023-12-04 15:25,Long Exit,1.71445,90909,155890.7532,-23.56,-0.02,67.33,0.06,-23.56,-0.02,-752.14,-0.01
73,Entry long,2023-12-04 14:45," | F:75,28,2,0,0.91,0,1,37.81,1,0,20.04",1.7148,90909,155890.7532,-23.56,-0.02,67.33,0.06,-23.56,-0.02,-752.14,-0.01
74,Exit long,2023-12-22 20:40,Long Exit,1.68518,156250,263328.125,-14.11,-0.01,14.11,0.01,-14.11,-0.01,-766.25,-0.01
74,Entry long,2023-12-22 20:35," | F:50,7,2,0,0.73,0,0,48.13,0,0,17.1",1.6853,156250,263328.125,-14.11,-0.01,14.11,0.01,-14.11,-0.01,-766.25,-0.01
75,Exit long,2024-01-05 07:25,Long Exit,1.69425,161290,273283.3244,-13.28,-0.01,4.83,0.00,-13.28,-0.01,-779.54,-0.01
75,Entry long,2024-01-05 07:20," | F:70,17,0,0,0.43,0,1,47.32,1,0,9.71",1.69436,161290,273283.3244,-13.28,-0.01,4.83,0.00,-13.28,-0.01,-779.54,-0.01
76,Exit long,2024-01-05 07:40,Long Exit,1.69414,111111,188265.3673,-20.8,-0.01,4.99,0.00,-20.8,-0.01,-800.34,-0.01
76,Entry long,2024-01-05 07:30," | F:70,25,0,0,1.16,0,1,49.47,1,0,10.19",1.69439,111111,188265.3673,-20.8,-0.01,4.99,0.00,-20.8,-0.01,-800.34,-0.01
77,Exit long,2024-01-08 09:40,Long Exit,1.69886,68493,116396.3193,-27.16,-0.03,14.35,0.02,-27.16,-0.03,-827.49,-0.01
77,Entry long,2024-01-08 09:15," | F:70,9,1,0,0.72,0,1,59.05,1,0,32.9",1.69939,68493,116396.3193,-27.16,-0.03,14.35,0.02,-27.16,-0.03,-827.49,-0.01
78,Exit long,2024-01-11 07:25,Long Exit,1.7055,135135,230495.7154,-17.16,-0.01,1.01,0.00,-17.16,-0.01,-844.65,-0.01
78,Entry long,2024-01-11 07:20," | F:70,9,0,0,0.97,0,1,50.34,1,0,12.26",1.70567,135135,230495.7154,-17.16,-0.01,1.01,0.00,-17.16,-0.01,-844.65,-0.01
79,Exit long,2024-01-11 11:00,Time Stop (Bars),1.70579,113636,193747.1073,68.76,0.05,112.9,0.08,-2.55,0.00,-775.9,-0.01
79,Entry long,2024-01-11 08:00," | F:70,80,0,0,0.74,0,1,32.94,1,0,24.94",1.70498,113636,193747.1073,68.76,0.05,112.9,0.08,-2.55,0.00,-775.9,-0.01
80,Exit long,2024-01-18 10:00,Long Exit,1.71354,94340,161486.495,124.98,0.10,124.98,0.10,-7.68,-0.01,-650.92,-0.01
80,Entry long,2024-01-18 09:35," | F:70,21,1,0,0.8,0,1,47.78,1,0,16.51",1.71175,94340,161486.495,124.98,0.10,124.98,0.10,-7.68,-0.01,-650.92,-0.01
81,Exit long,2024-01-18 11:50,Long Exit,1.71178,70423,120584.5987,-26.58,-0.03,32.84,0.04,-26.58,-0.03,-677.5,-0.01
81,Entry long,2024-01-18 11:25," | F:75,23,1,0,0.82,0,1,46.29,1,0,16.98",1.71229,70423,120584.5987,-26.58,-0.03,32.84,0.04,-26.58,-0.03,-677.5,-0.01
82,Exit long,2024-01-18 15:55,Long Exit,1.71047,45455,77790.32335,-30.28,-0.05,26.24,0.05,-30.28,-0.05,-707.77,-0.01
82,Entry long,2024-01-18 15:40," | F:70,11,2,0,0.92,0,0,47.87,1,0,17.49",1.71137,45455,77790.32335,-30.28,-0.05,26.24,0.05,-30.28,-0.05,-707.77,-0.01
83,Exit short,2024-01-22 21:45,Short Exit,1.7117,94340,161450.6458,-23.18,-0.02,5.62,0.00,-23.18,-0.02,-730.95,-0.01
83,Entry short,2024-01-22 21:40," | F:55,9,2,1,0.89,1,1,51.85,1,0,12.53",1.71137,94340,161450.6458,-23.18,-0.02,5.62,0.00,-23.18,-0.02,-730.95,-0.01
84,Exit short,2024-01-29 19:35,Short Exit,1.70523,166667,284188.9017,-12.39,-0.01,19.82,0.01,-12.39,-0.01,-743.34,-0.01
84,Entry short,2024-01-29 19:30," | F:70,13,2,1,0.91,0,0,50.13,0,0,16.59",1.70513,166667,284188.9017,-12.39,-0.01,19.82,0.01,-12.39,-0.01,-743.34,-0.01
85,Exit short,2024-01-30 19:10,Short Exit,1.70104,111111,188976.4777,-20.69,-0.01,4.14,0.00,-20.69,-0.01,-764.03,-0.01
85,Entry short,2024-01-30 19:05," | F:80,13,2,1,0.74,1,0,52.66,0,0,11.29",1.70079,111111,188976.4777,-20.69,-0.01,4.14,0.00,-20.69,-0.01,-764.03,-0.01
86,Exit long,2024-01-31 17:40,Long Exit,1.70237,63291,107782.0414,-27.87,-0.03,49.59,0.06,-27.87,-0.03,-791.9,-0.01
86,Entry long,2024-01-31 17:25," | F:75,13,2,0,0.58,0,1,42.99,0,0,25.31",1.70296,63291,107782.0414,-27.87,-0.03,49.59,0.06,-27.87,-0.03,-791.9,-0.01
