Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
111,Entry long,2024-04-24 09:25," | F:65,74,0,0,0.73,0,1,42.13,1,0,13.03",192.793,82403,15886721.58,-39.38,-0.04,39.91,0.04,-39.38,-0.04,-831.04,-0.01
112,Exit long,2024-04-24 18:15,Time Stop (Bars),192.791,30506,5878353.67,18.91,0.05,52.21,0.14,-19.5,-0.05,-812.12,-0.01
112,Entry long,2024-04-24 15:15," | F:60,41,2,0,0.09,1,1,54.9,1,0,22.92",192.695,30506,5878353.67,18.91,0.05,52.21,0.14,-19.5,-0.05,-812.12,-0.01
113,Exit long,2024-04-25 15:55,Long Exit,194.065,43484,8445636.416,-44.52,-0.08,17.64,0.03,-44.52,-0.08,-856.64,-0.01
113,Entry long,2024-04-25 15:45," | F:65,91,2,0,0.3,0,1,29.28,1,0,36.17",194.224,43484,8445636.416,-44.52,-0.08,17.64,0.03,-44.52,-0.08,-856.64,-0.01
114,Exit long,2024-04-25 19:30,Long Exit,194.456,79342,15407502.32,135.38,0.14,135.38,0.14,-12.26,-0.01,-721.26,-0.01
114,Entry long,2024-04-25 18:15," | F:80,15,2,0,1.84,1,1,47.24,1,0,22.05",194.191,79342,15407502.32,135.38,0.14,135.38,0.14,-12.26,-0.01,-721.26,-0.01
115,Exit long,2024-04-29 19:40,Long Exit,196.518,56696,11148474.66,-42.24,-0.06,10.02,0.01,-42.24,-0.06,-763.5,-0.01
115,Entry long,2024-04-29 19:30," | F:75,17,2,0,0.93,0,1,54.79,1,0,23.98",196.636,56696,11148474.66,-42.24,-0.06,10.02,0.01,-42.24,-0.06,-763.5,-0.01
116,Exit long,2024-04-30 15:10,Long Exit,196.776,53785,10590374.07,-43.37,-0.06,34.77,0.05,-43.37,-0.06,-806.87,-0.01
