Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
88,Exit long,2023-04-11 18:15,Long Exit,2005.49,35,70084.35,107.8,0.15,107.8,0.15,-31.15,-0.04,526.29,0.01
88,Entry long,2023-04-11 17:45," | F:75,7,2,0,1.19,0,1,56.46,1,0.96",2002.41,35,70084.35,107.8,0.15,107.8,0.15,-31.15,-0.04,526.29,0.01
89,Exit long,2023-04-13 06:10,Long Exit,2015.7,31,62529.79,-43.09,-0.07,66.65,0.11,-43.09,-0.07,483.2,0.00
89,Entry long,2023-04-13 04:05," | F:70,22,0,0,0.51,0,1,48.53,1,1.52",2017.09,31,62529.79,-43.09,-0.07,66.65,0.11,-43.09,-0.07,483.2,0.00
90,Exit long,2023-04-14 07:35,Long Exit,2042.93,35,71545.25,-42.7,-0.06,79.45,0.11,-42.7,-0.06,440.5,0.00
90,Entry long,2023-04-14 06:30," | F:70,28,0,0,1.08,0,1,47.69,1,1.33",2044.15,35,71545.25,-42.7,-0.06,79.45,0.11,-42.7,-0.06,440.5,0.00
91,Exit long,2023-04-14 14:35,Long Exit,2032.22,25,50851,-45.5,-0.09,10.75,0.02,-45.5,-0.09,395,0.00
91,Entry long,2023-04-14 14:10," | F:55,33,1,0,0.67,0,0,34.3,1,1.67",2034.04,25,50851,-45.5,-0.09,10.75,0.02,-45.5,-0.09,395,0.00
92,Exit short,2023-04-14 17:40,Short Exit,2006.46,4,8116.48,90.64,1.12,90.64,1.12,-24.68,-0.30,485.64,0.00
92,Entry short,2023-04-14 15:30," | F:75,20,2,1,0.37,0,0,31.44,1,5.6",2029.12,4,8116.48,90.64,1.12,90.64,1.12,-24.68,-0.30,485.64,0.00
93,Exit long,2023-04-18 12:45,Long Exit,1999.08,27,54019.98,-44.82,-0.08,25.11,0.05,-44.82,-0.08,440.82,0.00
93,Entry long,2023-04-18 12:30," | F:75,29,1,0,0.68,0,1,43.47,0,1.44",2000.74,27,54019.98,-44.82,-0.08,25.11,0.05,-44.82,-0.08,440.82,0.00
94,Exit long,2023-04-25 14:35,Long Exit,1979.59,18,35677.98,-45.36,-0.13,11.7,0.03,-45.36,-0.13,395.46,0.00
94,Entry long,2023-04-25 14:10," | F:55,239,1,0,1.06,0,0,32.01,0,1.17",1982.11,18,35677.98,-45.36,-0.13,11.7,0.03,-45.36,-0.13,395.46,0.00
95,Exit short,2023-04-27 01:00,Short Exit,1989.62,52,103420.2,-40.04,-0.04,22.36,0.02,-40.04,-0.04,355.42,0.00
95,Entry short,2023-04-26 23:20," | F:70,10,2,1,1.12,0,0,51.78,0,0.18",1988.85,52,103420.2,-40.04,-0.04,22.36,0.02,-40.04,-0.04,355.42,0.00
96,Exit long,2023-04-27 04:10,Long Exit,1989.66,43,85597.09,-41.71,-0.05,47.73,0.06,-41.71,-0.05,313.71,0.00
96,Entry long,2023-04-27 03:20," | F:50,19,0,0,0.89,0,0,49.57,0,2.27",1990.63,43,85597.09,-41.71,-0.05,47.73,0.06,-41.71,-0.05,313.71,0.00
97,Exit short,2023-04-27 05:35,Short Exit,1997.57,29,57885.74,-43.79,-0.08,24.94,0.04,-43.79,-0.08,269.92,0.00
97,Entry short,2023-04-27 05:25," | F:70,125,0,1,1.78,0,1,66.9,0,0.79",1996.06,29,57885.74,-43.79,-0.08,24.94,0.04,-43.79,-0.08,269.92,0.00
98,Exit long,2023-04-27 12:25,Long Exit,1997.34,59,117881.41,-38.35,-0.03,109.15,0.09,-38.35,-0.03,231.57,0.00
98,Entry long,2023-04-27 12:00," | F:70,79,1,0,1.28,0,1,40.49,1,0.72",1997.99,59,117881.41,-38.35,-0.03,109.15,0.09,-38.35,-0.03,231.57,0.00
99,Exit short,2023-04-27 13:40,Short Exit,2000.98,62,124022.94,-37.82,-0.03,22.94,0.02,-37.82,-0.03,193.75,0.00
99,Entry short,2023-04-27 13:25," | F:55,35,1,1,0.87,0,1,60.76,1,1.51",2000.37,62,124022.94,-37.82,-0.03,22.94,0.02,-37.82,-0.03,193.75,0.00
100,Exit long,2023-05-01 17:40,Long Exit,1984.41,16,31796.8,-46.24,-0.15,10.24,0.03,-46.24,-0.15,147.51,0.00
100,Entry long,2023-05-01 17:35," | F:75,57,2,0,0.38,0,0,37.16,1,0.9",1987.3,16,31796.8,-46.24,-0.15,10.24,0.03,-46.24,-0.15,147.51,0.00
101,Exit short,2023-05-02 11:35,Short Exit,1981.6,35,69312.95,-43.05,-0.06,0,0.00,-43.05,-0.06,104.46,0.00
101,Entry short,2023-05-02 11:25," | F:75,7,1,1,1.14,0,0,39.5,0,0.65",1980.37,35,69312.95,-43.05,-0.06,0,0.00,-43.05,-0.06,104.46,0.00
102,Exit short,2023-05-03 09:45,Short Exit,2017,52,104843.96,-40.04,-0.04,15.6,0.01,-40.04,-0.04,64.42,0.00
102,Entry short,2023-05-03 09:30," | F:50,22,0,1,0.34,0,1,52.33,1,1.53",2016.23,52,104843.96,-40.04,-0.04,15.6,0.01,-40.04,-0.04,64.42,0.00
103,Exit short,2023-05-03 10:25,Short Exit,2014.57,37,74646.39,107.3,0.14,107.3,0.14,-12.95,-0.02,171.72,0.00
103,Entry short,2023-05-03 10:00," | F:50,35,1,1,1.16,0,1,57.93,1,2.76",2017.47,37,74646.39,107.3,0.14,107.3,0.14,-12.95,-0.02,171.72,0.00
104,Exit short,2023-05-04 23:45,Short Exit,2050.86,59,120962.39,-38.35,-0.03,73.75,0.06,-38.35,-0.03,133.37,0.00
104,Entry short,2023-05-04 23:10," | F:55,40,2,1,0.95,0,1,57.77,1,0.42",2050.21,59,120962.39,-38.35,-0.03,73.75,0.06,-38.35,-0.03,133.37,0.00
105,Exit long,2023-05-05 08:15,Long Exit,2048.03,46,94249.86,-40.48,-0.04,0,0.00,-40.48,-0.04,92.89,0.00
105,Entry long,2023-05-05 08:10," | F:70,25,0,0,1.79,0,1,47.17,1,2.06",2048.91,46,94249.86,-40.48,-0.04,0,0.00,-40.48,-0.04,92.89,0.00
106,Exit long,2023-05-10 15:15,Long Exit,2027.54,40,81143.2,-41.6,-0.05,0,0.00,-41.6,-0.05,51.29,0.00
106,Entry long,2023-05-10 15:10," | F:55,42,2,0,1.05,0,0,40.73,1,1.48",2028.58,40,81143.2,-41.6,-0.05,0,0.00,-41.6,-0.05,51.29,0.00
107,Exit long,2023-05-11 09:35,Long Exit,2030.46,43,87350.63,-40.85,-0.05,52.89,0.06,-40.85,-0.05,10.44,0.00
107,Entry long,2023-05-11 09:05," | F:70,13,0,0,1.12,0,0,46.87,1,1.47",2031.41,43,87350.63,-40.85,-0.05,52.89,0.06,-40.85,-0.05,10.44,0.00
108,Exit short,2023-05-15 08:30,Short Exit,2017.5,51,102852.21,-40.29,-0.04,5.61,0.01,-40.29,-0.04,-29.85,0.00
108,Entry short,2023-05-15 08:25," | F:50,42,0,1,0.83,0,1,68.24,0,1.93",2016.71,51,102852.21,-40.29,-0.04,5.61,0.01,-40.29,-0.04,-29.85,0.00
109,Exit long,2023-05-16 13:45,Long Exit,2007.5,37,74319.68,-42.18,-0.06,21.09,0.03,-42.18,-0.06,-72.03,0.00
109,Entry long,2023-05-16 13:30," | F:55,34,1,0,0.97,0,0,44.69,0,1.12",2008.64,37,74319.68,-42.18,-0.06,21.09,0.03,-42.18,-0.06,-72.03,0.00
110,Exit long,2023-05-17 03:00,Long Exit,1990.67,106,210840.36,170.66,0.08,170.66,0.08,-18.02,-0.01,98.63,0.00
110,Entry long,2023-05-17 02:40," | F:50,18,3,0,0.52,0,0,45.08,0,1.02",1989.06,106,210840.36,170.66,0.08,170.66,0.08,-18.02,-0.01,98.63,0.00
111,Exit long,2023-05-17 08:15,Long Exit,1990.93,65,129447.5,-37.05,-0.03,3.9,0.00,-37.05,-0.03,61.58,0.00
111,Entry long,2023-05-17 08:05," | F:50,11,0,0,0.58,0,0,48.78,0,1.66",1991.5,65,129447.5,-37.05,-0.03,3.9,0.00,-37.05,-0.03,61.58,0.00
112,Exit short,2023-05-17 17:40,Short Exit,1984.95,37,73400.97,-42.18,-0.06,42.55,0.06,-42.18,-0.06,19.4,0.00
112,Entry short,2023-05-17 17:25," | F:75,13,2,1,0.52,0,0,52.91,0,0.79",1983.81,37,73400.97,-42.18,-0.06,42.55,0.06,-42.18,-0.06,19.4,0.00
113,Exit short,2023-05-18 03:55,Short Exit,1983.54,104,206259.04,-29.12,-0.01,146.64,0.07,-29.12,-0.01,-9.72,0.00
113,Entry short,2023-05-18 01:45," | F:70,31,3,1,0.89,0,0,58.6,0,0.82",1983.26,104,206259.04,-29.12,-0.01,146.64,0.07,-29.12,-0.01,-9.72,0.00
114,Exit short,2023-05-18 10:00,Short Exit,1976.8,32,63363.2,105.6,0.17,105.6,0.17,0,0.00,95.88,0.00
114,Entry short,2023-05-18 09:30," | F:70,25,0,1,0.57,0,0,53.14,0,1.2",1980.1,32,63363.2,105.6,0.17,105.6,0.17,0,0.00,95.88,0.00
115,Exit short,2023-05-18 11:15,Short Exit,1972.98,24,47457.6,106.08,0.22,106.08,0.22,-10.8,-0.02,201.96,0.00
115,Entry short,2023-05-18 10:45," | F:70,13,1,1,0.79,0,0,43.65,0,1.11",1977.4,24,47457.6,106.08,0.22,106.08,0.22,-10.8,-0.02,201.96,0.00
116,Exit long,2023-05-18 14:25,Long Exit,1974.82,55,108654.15,-39.05,-0.04,0,0.00,-39.05,-0.04,162.91,0.00
116,Entry long,2023-05-18 14:20," | F:55,30,1,0,1.3,0,0,41.34,0,0.93",1975.53,55,108654.15,-39.05,-0.04,0,0.00,-39.05,-0.04,162.91,0.00
117,Exit long,2023-05-24 16:40,Long Exit,1972.6,34,67112.26,-43.86,-0.07,19.72,0.03,-43.86,-0.07,119.05,0.00
117,Entry long,2023-05-24 16:35," | F:75,74,2,0,0.42,0,0,28.63,0,1.07",1973.89,34,67112.26,-43.86,-0.07,19.72,0.03,-43.86,-0.07,119.05,0.00
118,Exit short,2023-05-25 19:05,Short Exit,1946.63,26,50567.14,-45.24,-0.09,1.3,0.00,-45.24,-0.09,73.81,0.00
118,Entry short,2023-05-25 19:00," | F:75,15,2,1,0.96,0,0,43.33,0,1.02",1944.89,26,50567.14,-45.24,-0.09,1.3,0.00,-45.24,-0.09,73.81,0.00
119,Exit long,2023-05-26 18:10,Long Exit,1938.77,16,31066.56,-46.24,-0.15,12.96,0.04,-46.24,-0.15,27.57,0.00
119,Entry long,2023-05-26 17:45," | F:45,168,2,0,0.65,0,0,33.21,0,1.41",1941.66,16,31066.56,-46.24,-0.15,12.96,0.04,-46.24,-0.15,27.57,0.00
120,Exit long,2023-05-29 08:20,Long Exit,1945.03,104,202312.24,-29.12,-0.01,84.24,0.04,-29.12,-0.01,-1.55,0.00
120,Entry long,2023-05-29 08:05," | F:65,15,0,0,0.55,0,0,51.83,0,1.05",1945.31,104,202312.24,-29.12,-0.01,84.24,0.04,-29.12,-0.01,-1.55,0.00
121,Exit long,2023-05-29 11:45,Long Exit,1944.86,36,69909.12,105.84,0.15,105.84,0.15,-2.88,0.00,104.29,0.00
121,Entry long,2023-05-29 11:05," | F:50,85,1,0,1.34,0,0,27.83,0,1.66",1941.92,36,69909.12,105.84,0.15,105.84,0.15,-2.88,0.00,104.29,0.00
122,Exit short,2023-05-30 12:05,Short Exit,1942.89,38,73937.74,107.92,0.15,107.92,0.15,-12.92,-0.02,212.21,0.00
122,Entry short,2023-05-30 11:45," | F:75,167,1,1,0.34,0,1,71.98,0,0.87",1945.73,38,73937.74,107.92,0.15,107.92,0.15,-12.92,-0.02,212.21,0.00
123,Exit short,2023-05-31 21:45,Short Exit,1964.59,37,72797.87,108.04,0.15,108.04,0.15,-20.35,-0.03,320.25,0.00
