Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
50,Entry short,2023-07-21 12:30," | F:60,7,1,1,0.54,1,1,62.88,1,0,50.18,0",141.71,40259,5705102.89,106.89,0.26,106.89,0.26,-42.81,-0.11,1037.33,0.01
51,Exit long,2023-07-25 10:25,Long Exit,141.382,117850,16666582.7,-33.31,-0.03,128.24,0.11,-33.31,-0.03,1004.02,0.01
51,Entry long,2023-07-25 08:40," | F:70,13,0,0,0.84,0,1,55.66,1,0,21.61,0",141.422,117850,16666582.7,-33.31,-0.03,128.24,0.11,-33.31,-0.03,1004.02,0.01
52,Exit short,2023-07-26 16:30,Short Exit,140.373,84524,11859562.44,-37.76,-0.04,14.38,0.02,-37.76,-0.04,966.26,0.01
52,Entry short,2023-07-26 16:05," | F:75,10,2,1,0.49,1,0,48.92,0,0,17.83,0",140.31,84524,11859562.44,-37.76,-0.04,14.38,0.02,-37.76,-0.04,966.26,0.01
53,Exit long,2023-08-02 19:35,Time Stop (Bars),143.181,33619,4814946.799,-9.41,-0.03,59.55,0.18,-33.66,-0.10,956.85,0.01
53,Entry long,2023-08-02 16:35," | F:70,10,2,0,0.87,0,1,63.88,1,0,38.16,0",143.221,33619,4814946.799,-9.41,-0.03,59.55,0.18,-33.66,-0.10,956.85,0.01
54,Exit short,2023-08-09 14:00,Short Exit,143.411,98189,14076178.66,-36.28,-0.04,83.51,0.09,-36.28,-0.04,920.57,0.01
54,Entry short,2023-08-09 12:05," | F:55,151,1,1,0.39,1,1,65.23,1,0,29.02,0",143.358,98189,14076178.66,-36.28,-0.04,83.51,0.09,-36.28,-0.04,920.57,0.01
55,Exit long,2023-08-10 09:40,Long Exit,143.958,97305,14013087.66,-36.56,-0.04,11.51,0.01,-36.56,-0.04,884.02,0.01
55,Entry long,2023-08-10 09:30," | F:75,12,0,0,0.31,1,1,53.42,1,0,21.47,0",144.012,97305,14013087.66,-36.56,-0.04,11.51,0.01,-36.56,-0.04,884.02,0.01
56,Exit long,2023-08-15 09:40,Long Exit,145.686,93251,13565316.22,137.68,0.15,137.68,0.15,-5.12,-0.01,1021.69,0.01
56,Entry long,2023-08-15 09:00," | F:70,8,0,0,0.75,0,1,48.35,1,0,22.64,0",145.471,93251,13565316.22,137.68,0.15,137.68,0.15,-5.12,-0.01,1021.69,0.01
57,Exit long,2023-08-15 23:45,Time Stop (Bars),145.577,127647,18574936.15,51.72,0.04,131.48,0.10,-22.79,-0.02,1073.41,0.01
57,Entry long,2023-08-15 20:45," | F:70,17,2,0,0.95,0,1,54.37,1,0,18.34,0",145.518,127647,18574936.15,51.72,0.04,131.48,0.10,-22.79,-0.02,1073.41,0.01
58,Exit long,2023-09-04 23:30,Time Stop (Bars),146.491,221942,32510951.93,10.62,0.00,21.24,0.01,-9.1,0.00,1084.03,0.01
58,Entry long,2023-09-04 20:30," | F:75,19,2,0,1.22,0,1,55.98,1,0,11.72,0",146.484,221942,32510951.93,10.62,0.00,21.24,0.01,-9.1,0.00,1084.03,0.01
59,Exit long,2023-09-05 09:15,Long Exit,146.917,92847,13620562.05,138.14,0.15,138.14,0.15,-26.61,-0.03,1222.17,0.01
59,Entry long,2023-09-05 07:45," | F:70,29,0,0,0.51,0,1,49.72,1,0,29.6,0",146.699,92847,13620562.05,138.14,0.15,138.14,0.15,-26.61,-0.03,1222.17,0.01
60,Exit long,2023-09-05 12:50,Long Exit,147.12,89570,13157385.15,137.55,0.15,137.55,0.15,-35.46,-0.04,1359.72,0.01
60,Entry long,2023-09-05 10:15," | F:70,14,1,0,0.87,0,1,54.01,1,0,38.32,0",146.895,89570,13157385.15,137.55,0.15,137.55,0.15,-35.46,-0.04,1359.72,0.01
61,Exit long,2023-09-07 09:00,Long Exit,147.539,113527,16754768.77,-34.59,-0.03,6.15,0.01,-34.59,-0.03,1325.13,0.01
61,Entry long,2023-09-07 08:45," | F:55,12,0,0,0.88,1,0,47.78,1,0,21.34,0",147.584,113527,16754768.77,-34.59,-0.03,6.15,0.01,-34.59,-0.03,1325.13,0.01
62,Exit long,2023-09-12 23:25,Long Exit,147.079,144225,21216939.75,-30.49,-0.02,54.1,0.04,-30.49,-0.02,1294.63,0.01
62,Entry long,2023-09-12 21:45," | F:80,29,2,0,0.72,1,1,39.49,1,0,14.89,0",147.11,144225,21216939.75,-30.49,-0.02,54.1,0.04,-30.49,-0.02,1294.63,0.01
63,Exit long,2023-09-13 18:15,Long Exit,147.454,60472,8923006.432,-41.92,-0.07,2.05,0.00,-41.92,-0.07,1252.72,0.01
63,Entry long,2023-09-13 17:45," | F:80,7,2,0,0.88,1,1,58.37,1,0,11.41,0",147.556,60472,8923006.432,-41.92,-0.07,2.05,0.00,-41.92,-0.07,1252.72,0.01
64,Exit long,2023-09-13 22:15,Long Exit,147.467,85599,12602911.97,136.71,0.16,136.71,0.16,-8.73,-0.01,1389.42,0.01
64,Entry long,2023-09-13 20:20," | F:75,202,2,0,0.42,1,0,30.82,1,0,25.72,0",147.232,85599,12602911.97,136.71,0.16,136.71,0.16,-8.73,-0.01,1389.42,0.01
65,Exit long,2023-09-14 17:15,Long Exit,147.43,58396,8593438.568,107.74,0.18,107.74,0.18,-40.8,-0.07,1497.16,0.01
65,Entry long,2023-09-14 16:15," | F:50,107,2,0,0.17,0,0,40.25,1,0,26.33,0",147.158,58396,8593438.568,107.74,0.18,107.74,0.18,-40.8,-0.07,1497.16,0.01
66,Exit long,2023-09-15 17:00,Long Exit,147.667,71077,10508165.83,-84.32,-0.12,34.69,0.05,-84.32,-0.12,1412.84,0.01
66,Entry long,2023-09-15 16:15," | F:65,14,2,0,0.64,0,1,48.73,1,0,16.41,0",147.842,71077,10508165.83,-84.32,-0.12,34.69,0.05,-84.32,-0.12,1412.84,0.01
67,Exit long,2023-09-15 20:05,Time Stop (Bars),147.847,63118,9322276.128,64.61,0.10,84.29,0.13,-28.24,-0.04,1477.45,0.01
67,Entry long,2023-09-15 17:05," | F:70,87,2,0,0.57,0,1,37.62,1,0,21,0",147.696,63118,9322276.128,64.61,0.10,84.29,0.13,-28.24,-0.04,1477.45,0.01
68,Exit long,2023-09-19 13:35,Long Exit,147.612,153789,22705407.96,-29.17,-0.02,106.24,0.07,-29.17,-0.02,1448.29,0.01
68,Entry long,2023-09-19 11:05," | F:75,94,1,0,0.61,1,0,27.37,1,0,35.26,0",147.64,153789,22705407.96,-29.17,-0.02,106.24,0.07,-29.17,-0.02,1448.29,0.01
69,Exit long,2023-09-20 15:45,Long Exit,147.839,99928,14778651.7,-36.5,-0.04,25.01,0.03,-36.5,-0.04,1411.79,0.01
69,Entry long,2023-09-20 15:05," | F:60,16,2,0,0.7,1,1,45.57,1,0,29.47,0",147.893,99928,14778651.7,-36.5,-0.04,25.01,0.03,-36.5,-0.04,1411.79,0.01
70,Exit long,2023-09-20 16:30,Long Exit,147.772,175945,26003615.33,-26.18,-0.01,61.88,0.04,-26.18,-0.01,1385.6,0.01
70,Entry long,2023-09-20 16:10," | F:70,132,2,0,0.57,0,0,32.44,1,0,27.17,0",147.794,175945,26003615.33,-26.18,-0.01,61.88,0.04,-26.18,-0.01,1385.6,0.01
71,Exit long,2023-09-22 17:35,Long Exit,148.024,90298,13371869.63,-37.92,-0.04,2.45,0.00,-37.92,-0.04,1347.68,0.01
71,Entry long,2023-09-22 17:30," | F:70,104,2,0,0.76,0,0,34.77,1,0,31.49,0",148.086,90298,13371869.63,-37.92,-0.04,2.45,0.00,-37.92,-0.04,1347.68,0.01
72,Exit long,2023-09-27 10:15,Long Exit,149.022,146130,21781114.89,-30.39,-0.02,31.37,0.02,-30.39,-0.02,1317.29,0.01
72,Entry long,2023-09-27 10:00," | F:70,16,1,0,0.63,0,1,45.29,1,0,22.35,0",149.053,146130,21781114.89,-30.39,-0.02,31.37,0.02,-30.39,-0.02,1317.29,0.01
73,Exit long,2023-09-29 17:50,Long Exit,149.147,63239,9438104.555,-41.5,-0.07,63.09,0.10,-41.5,-0.07,1275.79,0.01
73,Entry long,2023-09-29 16:45," | F:75,7,2,0,0.79,0,1,56.57,1,0,23.9,0",149.245,63239,9438104.555,-41.5,-0.07,63.09,0.10,-41.5,-0.07,1275.79,0.01
74,Exit long,2023-10-06 15:25,Long Exit,149.015,109604,16337901.05,-35.42,-0.03,19.18,0.02,-35.42,-0.03,1240.38,0.01
74,Entry long,2023-10-06 15:20," | F:75,21,2,0,0.42,0,1,54.82,1,0,20.49,0",149.063,109604,16337901.05,-35.42,-0.03,19.18,0.02,-35.42,-0.03,1240.38,0.01
75,Exit short,2023-10-23 16:45,Short Exit,149.95,129233,19373577.5,-32.76,-0.03,8.62,0.01,-32.76,-0.03,1207.62,0.01
75,Entry short,2023-10-23 16:00," | F:55,11,2,1,0.66,1,0,41.54,1,0,38.8,0",149.912,129233,19373577.5,-32.76,-0.03,8.62,0.01,-32.76,-0.03,1207.62,0.01
76,Exit long,2023-10-31 09:40,Long Exit,150.138,49108,7379508.268,-43.8,-0.09,12.84,0.03,-43.8,-0.09,1163.82,0.01
76,Entry long,2023-10-31 08:30," | F:75,14,0,0,0.63,1,1,67.97,1,0,35.69,0",150.271,49108,7379508.268,-43.8,-0.09,12.84,0.03,-43.8,-0.09,1163.82,0.01
77,Exit short,2023-11-02 17:15,Short Exit,150.414,75927,11414485.54,-39.73,-0.05,53.81,0.07,-39.73,-0.05,1124.09,0.01
77,Entry short,2023-11-02 16:30," | F:80,66,2,1,0.35,1,0,58.98,0,0,22.99,0",150.335,75927,11414485.54,-39.73,-0.05,53.81,0.07,-39.73,-0.05,1124.09,0.01
78,Exit long,2023-11-06 18:05,Long Exit,149.681,126881,18996623.32,-33.11,-0.03,68.78,0.05,-33.11,-0.03,1090.98,0.01
78,Entry long,2023-11-06 16:45," | F:75,26,2,0,0.63,1,1,42.77,0,0,28.59,0",149.72,126881,18996623.32,-33.11,-0.03,68.78,0.05,-33.11,-0.03,1090.98,0.01
79,Exit short,2023-11-06 19:50,Short Exit,149.823,162822,24390247.13,-28.33,-0.02,15.25,0.01,-28.33,-0.02,1062.65,0.01
79,Entry short,2023-11-06 19:25," | F:60,12,2,1,0.28,1,1,54.15,0,0,11.79,0",149.797,162822,24390247.13,-28.33,-0.02,15.25,0.01,-28.33,-0.02,1062.65,0.01
80,Exit long,2023-11-07 14:30,Time Stop (Bars),150.472,83536,12560890.64,59.54,0.07,66.22,0.08,-38.39,-0.05,1122.19,0.01
80,Entry long,2023-11-07 11:30," | F:75,8,1,0,1.6,0,1,49.37,1,0,32.26,0",150.365,83536,12560890.64,59.54,0.07,66.22,0.08,-38.39,-0.05,1122.19,0.01
81,Exit long,2023-11-08 13:10,Time Stop (Bars),150.759,91866,13840623.43,59.85,0.07,81.23,0.09,-20.15,-0.02,1182.04,0.01
81,Entry long,2023-11-08 10:10," | F:75,29,1,0,0.6,1,1,50.23,1,0,34.95,0",150.661,91866,13840623.43,59.85,0.07,81.23,0.09,-20.15,-0.02,1182.04,0.01
82,Exit long,2023-11-10 09:45,Long Exit,151.354,189216,28642382.78,-25,-0.01,100.01,0.05,-25,-0.01,1157.03,0.01
82,Entry long,2023-11-10 08:10," | F:65,13,0,0,0.63,0,1,56.12,1,0,28.13,0",151.374,189216,28642382.78,-25,-0.01,100.01,0.05,-25,-0.01,1157.03,0.01
83,Exit long,2023-11-13 17:00,Long Exit,151.725,148777,22577802.41,-30.42,-0.02,148.18,0.10,-30.42,-0.02,1126.61,0.01
83,Entry long,2023-11-13 15:20," | F:75,18,2,0,0.17,1,1,48.23,1,0,16.93,0",151.756,148777,22577802.41,-30.42,-0.02,148.18,0.10,-30.42,-0.02,1126.61,0.01
84,Exit long,2023-11-24 16:15,Long Exit,149.549,141115,21108263.93,-31.13,-0.02,32.07,0.02,-31.13,-0.02,1095.49,0.01
84,Entry long,2023-11-24 15:40," | F:75,10,2,0,0.62,1,1,52.39,1,0,23.07,0",149.582,141115,21108263.93,-31.13,-0.02,32.07,0.02,-31.13,-0.02,1095.49,0.01
85,Exit long,2023-11-24 16:40,Long Exit,149.482,152561,22809547.67,-29.57,-0.02,74.44,0.05,-29.57,-0.02,1065.91,0.01
85,Entry long,2023-11-24 16:20," | F:65,21,2,0,0.38,0,1,40.87,1,0,21.31,0",149.511,152561,22809547.67,-29.57,-0.02,74.44,0.05,-29.57,-0.02,1065.91,0.01
86,Exit short,2023-11-27 13:00,Short Exit,148.963,71753,10708632.98,134.41,0.19,134.41,0.19,-15.36,-0.02,1200.32,0.01
86,Entry short,2023-11-27 12:10," | F:75,107,1,1,0.99,1,1,63.97,0,0,37.75,0",149.243,71753,10708632.98,134.41,0.19,134.41,0.19,-15.36,-0.02,1200.32,0.01
87,Exit long,2023-12-01 12:35,Long Exit,148.028,76962,11372520.82,134.97,0.18,134.97,0.18,-11.94,-0.02,1335.29,0.01
87,Entry long,2023-12-01 11:40," | F:55,92,1,0,0.6,1,0,33.69,0,0,33.28,0",147.768,76962,11372520.82,134.97,0.18,134.97,0.18,-11.94,-0.02,1335.29,0.01
88,Exit long,2023-12-01 14:50,Long Exit,148.316,86092,12748589.45,136.46,0.16,136.46,0.16,-11.61,-0.01,1471.75,0.01
88,Entry long,2023-12-01 14:35," | F:75,16,2,0,0.54,1,1,51.31,0,0,24.44,0",148.081,86092,12748589.45,136.46,0.16,136.46,0.16,-11.61,-0.01,1471.75,0.01
89,Exit long,2024-01-03 13:00,Time Stop (Bars),142.647,46256,6590184.832,57,0.12,104.89,0.23,-23.45,-0.05,1528.76,0.02
89,Entry long,2024-01-03 10:00," | F:70,5,1,0,0.96,0,1,75.33,1,0,39.06,0",142.472,46256,6590184.832,57,0.12,104.89,0.23,-23.45,-0.05,1528.76,0.02
90,Exit long,2024-01-03 17:35,Long Exit,143.663,25459,3642699.179,104.34,0.41,104.34,0.41,-4.66,-0.02,1633.1,0.02
90,Entry long,2024-01-03 17:05," | F:70,18,2,0,0.54,0,1,50.34,1,0,37.86,0",143.081,25459,3642699.179,104.34,0.41,104.34,0.41,-4.66,-0.02,1633.1,0.02
91,Exit long,2024-01-08 16:40,Long Exit,144.266,47813,6904053.761,-43.3,-0.09,37.68,0.08,-43.3,-0.09,1589.8,0.02
91,Entry long,2024-01-08 15:40," | F:50,41,2,0,0.58,0,0,42.04,1,0,20.76,0",144.397,47813,6904053.761,-43.3,-0.09,37.68,0.08,-43.3,-0.09,1589.8,0.02
92,Exit long,2024-01-12 14:55,Long Exit,145.367,134431,19517364.73,168.35,0.13,168.35,0.13,-19.43,-0.01,1758.15,0.02
92,Entry long,2024-01-12 14:05," | F:55,10,2,0,0.89,1,0,51.53,1,0,15.53,0",145.185,134431,19517364.73,168.35,0.13,168.35,0.13,-19.43,-0.01,1758.15,0.02
93,Exit long,2024-01-16 15:30,Long Exit,146.54,68566,10060963.44,-91.24,-0.13,22.1,0.03,-91.24,-0.13,1666.92,0.02
93,Entry long,2024-01-16 15:10," | F:70,15,2,0,0.92,0,1,56.39,1,0,19.78,0",146.734,68566,10060963.44,-91.24,-0.13,22.1,0.03,-91.24,-0.13,1666.92,0.02
94,Exit long,2024-01-17 10:20,Long Exit,147.723,110275,16295336.75,-35.2,-0.03,8.24,0.01,-35.2,-0.03,1631.71,0.02
94,Entry long,2024-01-17 10:15," | F:70,16,1,0,1.08,0,1,48.28,1,0,29.58,0",147.77,110275,16295336.75,-35.2,-0.03,8.24,0.01,-35.2,-0.03,1631.71,0.02
95,Exit long,2024-01-19 16:15,Long Exit,148.226,110449,16347004.24,164.71,0.15,164.71,0.15,-34.28,-0.03,1796.43,0.02
95,Entry long,2024-01-19 14:05," | F:60,15,2,0,0.5,1,0,47.18,1,0,18.11,0",148.005,110449,16347004.24,164.71,0.15,164.71,0.15,-34.28,-0.03,1796.43,0.02
96,Exit long,2024-01-22 11:30,Long Exit,148.06,117541,17408174.72,-34.08,-0.03,27.74,0.02,-34.08,-0.03,1762.35,0.02
96,Entry long,2024-01-22 11:20," | F:80,12,1,0,0.74,1,1,47.99,1,0,17.19,0",148.103,117541,17408174.72,-34.08,-0.03,27.74,0.02,-34.08,-0.03,1762.35,0.02
97,Exit long,2024-01-22 14:40,Long Exit,147.769,90140,13325486.34,-37.68,-0.04,13.37,0.01,-37.68,-0.04,1724.67,0.02
97,Entry long,2024-01-22 14:30," | F:50,115,2,0,0.96,0,0,34.68,1,0,40.55,0",147.831,90140,13325486.34,-37.68,-0.04,13.37,0.01,-37.68,-0.04,1724.67,0.02
98,Exit long,2024-01-22 20:05,Long Exit,148.053,80328,11872719.38,135.39,0.17,135.39,0.17,-27.08,-0.03,1860.06,0.02
98,Entry long,2024-01-22 17:15," | F:55,13,2,0,0.75,0,0,48.08,1,0,22.57,0",147.803,80328,11872719.38,135.39,0.17,135.39,0.17,-27.08,-0.03,1860.06,0.02
99,Exit long,2024-01-29 17:05,Long Exit,147.883,94833,14029688.85,-37.11,-0.04,70.38,0.07,-37.11,-0.04,1822.95,0.02
99,Entry long,2024-01-29 15:45," | F:75,14,2,0,0.55,1,1,52.35,1,0,22.86,0",147.941,94833,14029688.85,-37.11,-0.04,70.38,0.07,-37.11,-0.04,1822.95,0.02
100,Exit long,2024-01-31 10:20,Long Exit,147.561,81115,11975169.68,-39.01,-0.05,3.3,0.00,-39.01,-0.05,1783.94,0.02
100,Entry long,2024-01-31 10:15," | F:70,76,1,0,0.58,0,1,39.11,1,0,28.44,0",147.632,81115,11975169.68,-39.01,-0.05,3.3,0.00,-39.01,-0.05,1783.94,0.02
101,Exit long,2024-02-06 16:40,Long Exit,148.462,89472,13288828.8,-37.9,-0.04,74.6,0.08,-37.9,-0.04,1746.04,0.02
