Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
17,Entry short,2023-02-15 18:10, | F:score=70 | F:fresh=84 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.6 | F:is_accuracy=0 | F:trend=1 | F:rsi=66 | F:htf_trend=1 | F:rvol=0 | F:adx=23.76 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=86.8 | F:liquidity_spread=18.6 | F:return_strength=44.79,161.3,28923,4665279.9,-26.5,-0.08,29.11,0.08,-26.5,-0.08,-12.61,0.00
18,Exit long,2023-02-16 19:00,Long Exit,160.911,81628,13142026.37,-53.53,-0.05,20.68,0.02,-53.53,-0.05,-66.14,0.00
18,Entry long,2023-02-16 18:45, | F:score=60 | F:fresh=16 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.47 | F:is_accuracy=1 | F:trend=0 | F:rsi=45.17 | F:htf_trend=1 | F:rvol=0 | F:adx=16.05 | F:touch_count=1 | F:base_quality=80 | F:departure_strength=50 | F:liquidity_distance=82 | F:liquidity_spread=14 | F:return_strength=19.51,160.999,81628,13142026.37,-53.53,-0.05,20.68,0.02,-53.53,-0.05,-66.14,0.00
19,Exit long,2023-02-20 13:00,Long Exit,161.246,73701,11891140.44,-53.27,-0.06,26.36,0.03,-53.27,-0.06,-119.41,0.00
19,Entry long,2023-02-20 12:20, | F:score=55 | F:fresh=7 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.27 | F:htf_trend=1 | F:rvol=0 | F:adx=25.11 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=60.72 | F:liquidity_distance=93.2 | F:liquidity_spread=8.2 | F:return_strength=100,161.343,73701,11891140.44,-53.27,-0.06,26.36,0.03,-53.27,-0.06,-119.41,0.00
20,Exit long,2023-02-23 08:20,Long Exit,162.695,149813,24354050.72,146.5,0.08,146.5,0.08,-12.21,-0.01,27.08,0.00
20,Entry long,2023-02-23 07:40, | F:score=55 | F:fresh=11 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.52 | F:is_accuracy=1 | F:trend=0 | F:rsi=50.98 | F:htf_trend=1 | F:rvol=0 | F:adx=17.58 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.1 | F:liquidity_distance=99.8 | F:liquidity_spread=4.1 | F:return_strength=50,162.563,149813,24354050.72,146.5,0.08,146.5,0.08,-12.21,-0.01,27.08,0.00
21,Exit short,2023-02-23 21:30,Short Exit,161.843,26912,4351993.344,-26.12,-0.08,1.59,0.00,-26.12,-0.08,0.97,0.00
21,Entry short,2023-02-23 21:15, | F:score=70 | F:fresh=6 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.76 | F:is_accuracy=0 | F:trend=0 | F:rsi=36.72 | F:htf_trend=1 | F:rvol=0 | F:adx=33.31 | F:touch_count=1 | F:base_quality=40 | F:departure_strength=29.69 | F:liquidity_distance=98.2 | F:liquidity_spread=4.7 | F:return_strength=50,161.712,26912,4351993.344,-26.12,-0.08,1.59,0.00,-26.12,-0.08,0.97,0.00
22,Exit long,2023-02-24 21:40,Long Exit,162.964,103341,16848303.28,-55.23,-0.04,46.79,0.04,-55.23,-0.04,-54.26,0.00
