Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
15,Entry long,2023-02-03 17:30, | F:score=50 | F:fresh=5 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.05 | F:is_accuracy=0 | F:trend=0 | F:rsi=35.16 | F:htf_trend=0 | F:rvol=0.76 | F:adx=61.07 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1876.69,3,5630.07,-23.43,-0.42,3.69,0.07,-23.43,-0.42,424.73,0.00
16,Exit long,2023-02-06 07:30,Long Exit,1875.6,44,82578.76,-52.36,-0.06,15.84,0.02,-52.36,-0.06,372.37,0.00
16,Entry long,2023-02-06 07:15, | F:score=50 | F:fresh=18 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.74 | F:is_accuracy=0 | F:trend=0 | F:rsi=55.74 | F:htf_trend=0 | F:rvol=1.03 | F:adx=39.26 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=13.84 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=50,1876.79,44,82578.76,-52.36,-0.06,15.84,0.02,-52.36,-0.06,372.37,0.00
17,Exit long,2023-02-07 11:20,Long Exit,1877.42,19,35597.07,73.91,0.21,73.91,0.21,-1.52,0.00,446.28,0.00
17,Entry long,2023-02-07 11:05, | F:score=70 | F:fresh=89 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.79 | F:is_accuracy=0 | F:trend=1 | F:rsi=47.93 | F:htf_trend=0 | F:rvol=0.94 | F:adx=11.17 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=46.89 | F:liquidity_distance=58 | F:liquidity_spread=100 | F:return_strength=100,1873.53,19,35597.07,73.91,0.21,73.91,0.21,-1.52,0.00,446.28,0.00
18,Exit long,2023-02-07 20:40,Long Exit,1867.65,17,31775.72,-25.67,-0.08,0,0.00,-25.67,-0.08,420.61,0.00
18,Entry long,2023-02-07 20:35, | F:score=75 | F:fresh=40 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.51 | F:is_accuracy=0 | F:trend=0 | F:rsi=37.32 | F:htf_trend=0 | F:rvol=0.94 | F:adx=20.76 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=32.4 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1869.16,17,31775.72,-25.67,-0.08,0,0.00,-25.67,-0.08,420.61,0.00
19,Exit short,2023-02-09 15:40,Short Exit,1883.02,46,86566.02,-52.9,-0.06,109.94,0.13,-52.9,-0.06,367.71,0.00
19,Entry short,2023-02-09 15:15, | F:score=50 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.45 | F:is_accuracy=0 | F:trend=1 | F:rsi=48.47 | F:htf_trend=0 | F:rvol=1.32 | F:adx=11.4 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=39.93 | F:liquidity_distance=86 | F:liquidity_spread=100 | F:return_strength=100,1881.87,46,86566.02,-52.9,-0.06,109.94,0.13,-52.9,-0.06,367.71,0.00
20,Exit long,2023-02-14 11:35,Long Exit,1862.29,38,70644.66,122.36,0.17,122.36,0.17,-49.78,-0.07,490.07,0.00
20,Entry long,2023-02-14 09:25, | F:score=70 | F:fresh=21 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.47 | F:is_accuracy=0 | F:trend=1 | F:rsi=45.31 | F:htf_trend=0 | F:rvol=1.21 | F:adx=29.9 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=35.48 | F:liquidity_distance=42 | F:liquidity_spread=100 | F:return_strength=53.85,1859.07,38,70644.66,122.36,0.17,122.36,0.17,-49.78,-0.07,490.07,0.00
21,Exit short,2023-02-14 14:50,Short Exit,1860.12,12,22295.64,-25.8,-0.12,6.36,0.03,-25.8,-0.12,464.27,0.00
21,Entry short,2023-02-14 14:30, | F:score=55 | F:fresh=21 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.61 | F:is_accuracy=0 | F:trend=0 | F:rsi=48.53 | F:htf_trend=0 | F:rvol=1.03 | F:adx=30.81 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.44 | F:liquidity_distance=4 | F:liquidity_spread=78 | F:return_strength=100,1857.97,12,22295.64,-25.8,-0.12,6.36,0.03,-25.8,-0.12,464.27,0.00
22,Exit long,2023-02-15 12:45,Long Exit,1833.78,19,34891.98,-50.16,-0.14,21.47,0.06,-50.16,-0.14,414.11,0.00
22,Entry long,2023-02-15 12:00, | F:score=50 | F:fresh=13 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.6 | F:is_accuracy=0 | F:trend=0 | F:rsi=49.99 | F:htf_trend=0 | F:rvol=1.15 | F:adx=25.65 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=90 | F:liquidity_spread=100 | F:return_strength=100,1836.42,19,34891.98,-50.16,-0.14,21.47,0.06,-50.16,-0.14,414.11,0.00
23,Exit short,2023-02-15 18:25,Short Exit,1831.31,14,25689.72,51.38,0.20,51.38,0.20,-5.74,-0.02,465.49,0.00
23,Entry short,2023-02-15 18:05, | F:score=75 | F:fresh=17 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.05 | F:is_accuracy=0 | F:trend=0 | F:rsi=52.19 | F:htf_trend=0 | F:rvol=0.73 | F:adx=14.91 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=40.77 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1834.98,14,25689.72,51.38,0.20,51.38,0.20,-5.74,-0.02,465.49,0.00
24,Exit short,2023-02-16 18:45,Short Exit,1839.17,19,34893.31,-50.92,-0.15,8.36,0.02,-50.92,-0.15,414.57,0.00
24,Entry short,2023-02-16 18:30, | F:score=75 | F:fresh=39 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.47 | F:is_accuracy=0 | F:trend=0 | F:rsi=60.24 | F:htf_trend=0 | F:rvol=1.4 | F:adx=18.53 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.89 | F:liquidity_distance=54 | F:liquidity_spread=100 | F:return_strength=50,1836.49,19,34893.31,-50.92,-0.15,8.36,0.02,-50.92,-0.15,414.57,0.00
25,Exit long,2023-02-17 16:45,Long Exit,1824.01,32,58419.84,-51.52,-0.09,0.96,0.00,-51.52,-0.09,363.05,0.00
25,Entry long,2023-02-17 16:40, | F:score=45 | F:fresh=34 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.74 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.47 | F:htf_trend=0 | F:rvol=1.44 | F:adx=18.47 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=50 | F:liquidity_distance=76 | F:liquidity_spread=87 | F:return_strength=50,1825.62,32,58419.84,-51.52,-0.09,0.96,0.00,-51.52,-0.09,363.05,0.00
26,Exit short,2023-02-17 19:00,Short Exit,1840.98,8,14702.32,-25.52,-0.17,31.44,0.21,-25.52,-0.17,337.53,0.00
26,Entry short,2023-02-17 17:35, | F:score=70 | F:fresh=221 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.72 | F:is_accuracy=0 | F:trend=1 | F:rsi=72.14 | F:htf_trend=0 | F:rvol=1.44 | F:adx=33.31 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=70.39 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=50,1837.79,8,14702.32,-25.52,-0.17,31.44,0.21,-25.52,-0.17,337.53,0.00
27,Exit long,2023-02-20 19:00,Long Exit,1842.1,51,94000.14,-53.04,-0.06,44.37,0.05,-53.04,-0.06,284.49,0.00
27,Entry long,2023-02-20 17:35, | F:score=75 | F:fresh=82 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.41 | F:is_accuracy=0 | F:trend=1 | F:rsi=39.81 | F:htf_trend=0 | F:rvol=0.79 | F:adx=22.2 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=33.64 | F:liquidity_distance=86 | F:liquidity_spread=100 | F:return_strength=100,1843.14,51,94000.14,-53.04,-0.06,44.37,0.05,-53.04,-0.06,284.49,0.00
28,Exit long,2023-02-22 13:05,Long Exit,1835.83,45,82487.7,124.65,0.15,124.65,0.15,-42.3,-0.05,409.14,0.00
28,Entry long,2023-02-22 12:25, | F:score=50 | F:fresh=171 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.39 | F:is_accuracy=0 | F:trend=0 | F:rsi=39.48 | F:htf_trend=0 | F:rvol=1.51 | F:adx=15.16 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=35.65 | F:liquidity_distance=74 | F:liquidity_spread=100 | F:return_strength=50,1833.06,45,82487.7,124.65,0.15,124.65,0.15,-42.3,-0.05,409.14,0.00
29,Exit short,2023-02-22 14:05,Short Exit,1839.77,25,45967.75,-26.5,-0.06,66.25,0.14,-26.5,-0.06,382.64,0.00
29,Entry short,2023-02-22 13:30, | F:score=55 | F:fresh=42 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.15 | F:is_accuracy=0 | F:trend=1 | F:rsi=67.82 | F:htf_trend=0 | F:rvol=1.1 | F:adx=22.51 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=35.14 | F:liquidity_distance=0 | F:liquidity_spread=91 | F:return_strength=39.38,1838.71,25,45967.75,-26.5,-0.06,66.25,0.14,-26.5,-0.06,382.64,0.00
30,Exit short,2023-02-22 21:55,Short Exit,1825.11,14,25624.2,72.66,0.28,72.66,0.28,-8.12,-0.03,455.3,0.00
30,Entry short,2023-02-22 21:05, | F:score=65 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.57 | F:is_accuracy=0 | F:trend=0 | F:rsi=41.06 | F:htf_trend=0 | F:rvol=3.77 | F:adx=26.78 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1830.3,14,25624.2,72.66,0.28,72.66,0.28,-8.12,-0.03,455.3,0.00
31,Exit long,2023-02-24 10:10,Long Exit,1819.79,89,162016.49,-55.18,-0.03,0,0.00,-55.18,-0.03,400.12,0.00
31,Entry long,2023-02-24 10:05, | F:score=50 | F:fresh=152 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.78 | F:is_accuracy=0 | F:trend=0 | F:rsi=30.42 | F:htf_trend=0 | F:rvol=1.73 | F:adx=13.32 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.71 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=39.03,1820.41,89,162016.49,-55.18,-0.03,0,0.00,-55.18,-0.03,400.12,0.00
32,Exit short,2023-02-24 10:30,Short Exit,1823.2,51,92955.15,-28.05,-0.03,0,0.00,-28.05,-0.03,372.07,0.00
32,Entry short,2023-02-24 10:25, | F:score=70 | F:fresh=10 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.48 | F:is_accuracy=0 | F:trend=0 | F:rsi=48.36 | F:htf_trend=0 | F:rvol=0.97 | F:adx=14.36 | F:touch_count=1 | F:base_quality=40 | F:departure_strength=50 | F:liquidity_distance=60 | F:liquidity_spread=85 | F:return_strength=100,1822.65,51,92955.15,-28.05,-0.03,0,0.00,-28.05,-0.03,372.07,0.00
33,Exit short,2023-02-27 09:50,Short Exit,1811.73,21,37995.93,-50.4,-0.13,47.88,0.13,-50.4,-0.13,321.67,0.00
33,Entry short,2023-02-27 08:15, | F:score=70 | F:fresh=41 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.96 | F:is_accuracy=0 | F:trend=0 | F:rsi=53.19 | F:htf_trend=0 | F:rvol=1.34 | F:adx=23.47 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.4 | F:liquidity_distance=8 | F:liquidity_spread=100 | F:return_strength=50,1809.33,21,37995.93,-50.4,-0.13,47.88,0.13,-50.4,-0.13,321.67,0.00
34,Exit long,2023-03-01 13:00,Long Exit,1835.1,31,56787.97,100.13,0.18,100.13,0.18,-36.58,-0.06,421.8,0.00
34,Entry long,2023-03-01 11:25, | F:score=70 | F:fresh=52 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.28 | F:is_accuracy=0 | F:trend=1 | F:rsi=43.07 | F:htf_trend=1 | F:rvol=0.52 | F:adx=17.27 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=36.77 | F:liquidity_distance=58 | F:liquidity_spread=100 | F:return_strength=50,1831.87,31,56787.97,100.13,0.18,100.13,0.18,-36.58,-0.06,421.8,0.00
35,Exit long,2023-03-01 15:30,Long Exit,1835.53,16,29394.72,-26.24,-0.09,17.44,0.06,-26.24,-0.09,395.56,0.00
35,Entry long,2023-03-01 15:10, | F:score=70 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.03 | F:is_accuracy=0 | F:trend=1 | F:rsi=51 | F:htf_trend=1 | F:rvol=1.66 | F:adx=19.7 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=42.67 | F:liquidity_distance=32 | F:liquidity_spread=100 | F:return_strength=100,1837.17,16,29394.72,-26.24,-0.09,17.44,0.06,-26.24,-0.09,395.56,0.00
36,Exit long,2023-03-03 20:05,Long Exit,1848.34,13,23954.32,74.1,0.31,74.1,0.31,-20.67,-0.09,469.66,0.00
36,Entry long,2023-03-03 17:10, | F:score=70 | F:fresh=111 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.47 | F:is_accuracy=0 | F:trend=0 | F:rsi=39.42 | F:htf_trend=1 | F:rvol=1.5 | F:adx=26.43 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=36.2 | F:liquidity_distance=0 | F:liquidity_spread=54 | F:return_strength=100,1842.64,13,23954.32,74.1,0.31,74.1,0.31,-20.67,-0.09,469.66,0.00
37,Exit short,2023-03-06 15:20,Short Exit,1852.55,38,70344.46,-52.44,-0.07,40.28,0.06,-52.44,-0.07,417.22,0.00
37,Entry short,2023-03-06 15:00, | F:score=75 | F:fresh=31 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.56 | F:is_accuracy=0 | F:trend=0 | F:rsi=56.01 | F:htf_trend=1 | F:rvol=1.78 | F:adx=19.05 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=45.21 | F:liquidity_distance=0 | F:liquidity_spread=96 | F:return_strength=36.67,1851.17,38,70344.46,-52.44,-0.07,40.28,0.06,-52.44,-0.07,417.22,0.00
38,Exit short,2023-03-08 10:10,Short Exit,1815.08,41,74365.8,-52.48,-0.07,24.19,0.03,-52.48,-0.07,364.74,0.00
38,Entry short,2023-03-08 09:40, | F:score=65 | F:fresh=119 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.49 | F:is_accuracy=0 | F:trend=0 | F:rsi=58.16 | F:htf_trend=0 | F:rvol=1.56 | F:adx=23.43 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=84 | F:liquidity_spread=100 | F:return_strength=50,1813.8,41,74365.8,-52.48,-0.07,24.19,0.03,-52.48,-0.07,364.74,0.00
