Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
462,Entry short,2025-06-25 08:45, | F:score=70 | F:fresh=25 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=1 | F:rsi=55.06 | F:htf_trend=1 | F:rvol=1.05 | F:adx=23.05 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=38.66 | F:liquidity_distance=98 | F:liquidity_spread=6.8 | F:return_strength=100,1.1617,166667,193617.0539,-60,-0.03,50,0.03,-60,-0.03,-3284.22,-0.03
463,Exit short,2025-06-26 20:10,Short Exit,1.17261,131579,154436.9039,146.05,0.09,146.05,0.09,-17.11,-0.01,-3138.16,-0.03
463,Entry short,2025-06-26 19:40, | F:score=60 | F:fresh=97 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.41 | F:is_accuracy=1 | F:trend=1 | F:rsi=70.64 | F:htf_trend=1 | F:rvol=0.9 | F:adx=17 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=37.18 | F:liquidity_distance=99.2 | F:liquidity_spread=2.8 | F:return_strength=100,1.17372,131579,154436.9039,146.05,0.09,146.05,0.09,-17.11,-0.01,-3138.16,-0.03
464,Exit short,2025-06-27 08:50,Short Exit,1.16937,104167,121753.5146,-56.25,-0.05,20.83,0.02,-56.25,-0.05,-3194.41,-0.03
464,Entry short,2025-06-27 08:35, | F:score=75 | F:fresh=12 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.6 | F:is_accuracy=1 | F:trend=0 | F:rsi=41.62 | F:htf_trend=1 | F:rvol=1.45 | F:adx=34.12 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=34.42 | F:liquidity_distance=96 | F:liquidity_spread=4.2 | F:return_strength=62.14,1.16883,104167,121753.5146,-56.25,-0.05,20.83,0.02,-56.25,-0.05,-3194.41,-0.03
465,Exit long,2025-07-01 07:50,Long Exit,1.17835,166667,196452.0596,-60,-0.03,0,0.00,-60,-0.03,-3254.41,-0.03
465,Entry long,2025-07-01 07:45, | F:score=70 | F:fresh=25 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.85 | F:is_accuracy=0 | F:trend=1 | F:rsi=44.5 | F:htf_trend=1 | F:rvol=0.85 | F:adx=13.99 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=30.76 | F:liquidity_distance=98 | F:liquidity_spread=7.9 | F:return_strength=100,1.17871,166667,196452.0596,-60,-0.03,0,0.00,-60,-0.03,-3254.41,-0.03
466,Exit short,2025-07-02 18:10,Short Exit,1.17721,54348,63925.74804,-53.26,-0.08,61.41,0.10,-53.26,-0.08,-3307.67,-0.03
466,Entry short,2025-07-02 17:25, | F:score=75 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.47 | F:is_accuracy=0 | F:trend=0 | F:rsi=48.84 | F:htf_trend=1 | F:rvol=0.68 | F:adx=16.49 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=40.18 | F:liquidity_distance=92.2 | F:liquidity_spread=9.2 | F:return_strength=50,1.17623,54348,63925.74804,-53.26,-0.08,61.41,0.10,-53.26,-0.08,-3307.67,-0.03
467,Exit short,2025-07-07 08:40,Short Exit,1.17703,142857,168088.4033,-58.57,-0.03,41.43,0.02,-58.57,-0.03,-3366.25,-0.03
467,Entry short,2025-07-07 08:10, | F:score=70 | F:fresh=8 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.64 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.83 | F:htf_trend=1 | F:rvol=1.2 | F:adx=21.33 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=28.76 | F:liquidity_distance=98.2 | F:liquidity_spread=3.9 | F:return_strength=100,1.17662,142857,168088.4033,-58.57,-0.03,41.43,0.02,-58.57,-0.03,-3366.25,-0.03
468,Exit short,2025-07-09 10:40,Short Exit,1.17091,98039,114941.904,147.06,0.13,147.06,0.13,-18.63,-0.02,-3219.19,-0.03
468,Entry short,2025-07-09 10:00, | F:score=55 | F:fresh=98 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.36 | F:is_accuracy=1 | F:trend=1 | F:rsi=65.66 | F:htf_trend=0 | F:rvol=1.64 | F:adx=22.01 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=49.12 | F:liquidity_distance=96 | F:liquidity_spread=0.9 | F:return_strength=28.81,1.17241,98039,114941.904,147.06,0.13,147.06,0.13,-18.63,-0.02,-3219.19,-0.03
469,Exit short,2025-07-09 13:40,Short Exit,1.17027,86207,100995.8109,110.34,0.11,110.34,0.11,-16.38,-0.02,-3108.84,-0.03
469,Entry short,2025-07-09 13:05, | F:score=80 | F:fresh=12 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.48 | F:is_accuracy=1 | F:trend=0 | F:rsi=54.78 | F:htf_trend=0 | F:rvol=0.82 | F:adx=15.33 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.94 | F:liquidity_distance=92.6 | F:liquidity_spread=3.3 | F:return_strength=63.35,1.17155,86207,100995.8109,110.34,0.11,110.34,0.11,-16.38,-0.02,-3108.84,-0.03
470,Exit short,2025-07-10 12:15,Short Exit,1.17328,135135,158493.0847,-58.11,-0.04,4.05,0.00,-58.11,-0.04,-3166.95,-0.03
470,Entry short,2025-07-10 12:05, | F:score=75 | F:fresh=12 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.16 | F:is_accuracy=0 | F:trend=0 | F:rsi=43.89 | F:htf_trend=1 | F:rvol=0.74 | F:adx=24.31 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=35.32 | F:liquidity_distance=97.8 | F:liquidity_spread=3.6 | F:return_strength=29.88,1.17285,135135,158493.0847,-58.11,-0.04,4.05,0.00,-58.11,-0.04,-3166.95,-0.03
471,Exit short,2025-07-14 10:55,Short Exit,1.16877,147059,171819.3238,-58.82,-0.03,29.41,0.02,-58.82,-0.03,-3225.77,-0.03
471,Entry short,2025-07-14 10:45, | F:score=65 | F:fresh=67 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=1 | F:rsi=72.19 | F:htf_trend=0 | F:rvol=1.11 | F:adx=30.35 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=97.2 | F:liquidity_spread=12.5 | F:return_strength=100,1.16837,147059,171819.3238,-58.82,-0.03,29.41,0.02,-58.82,-0.03,-3225.77,-0.03
472,Exit long,2025-07-14 18:50,Long Exit,1.16775,52083,60848.04807,-28.12,-0.05,68.23,0.11,-28.12,-0.05,-3253.9,-0.03
472,Entry long,2025-07-14 18:05, | F:score=75 | F:fresh=13 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.77 | F:is_accuracy=0 | F:trend=0 | F:rsi=45.43 | F:htf_trend=0 | F:rvol=1.09 | F:adx=22.27 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=32.71 | F:liquidity_distance=92 | F:liquidity_spread=4.4 | F:return_strength=67.58,1.16829,52083,60848.04807,-28.12,-0.05,68.23,0.11,-28.12,-0.05,-3253.9,-0.03
473,Exit long,2025-07-16 08:35,Long Exit,1.16145,147059,170860.4992,-58.82,-0.03,0,0.00,-58.82,-0.03,-3312.72,-0.03
473,Entry long,2025-07-16 08:30, | F:score=70 | F:fresh=10 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.93 | F:is_accuracy=0 | F:trend=0 | F:rsi=60.36 | F:htf_trend=0 | F:rvol=1.51 | F:adx=14.31 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=34.5 | F:liquidity_distance=99.2 | F:liquidity_spread=3.8 | F:return_strength=39.19,1.16185,147059,170860.4992,-58.82,-0.03,0,0.00,-58.82,-0.03,-3312.72,-0.03
474,Exit short,2025-07-16 17:50,Short Exit,1.15748,38462,44491.68774,-27.31,-0.06,8.08,0.02,-27.31,-0.06,-3340.03,-0.03
474,Entry short,2025-07-16 17:45, | F:score=75 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=0 | F:rsi=37.44 | F:htf_trend=0 | F:rvol=0.65 | F:adx=46.39 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.29 | F:liquidity_distance=97.6 | F:liquidity_spread=5 | F:return_strength=100,1.15677,38462,44491.68774,-27.31,-0.06,8.08,0.02,-27.31,-0.06,-3340.03,-0.03
475,Exit long,2025-07-18 17:50,Long Exit,1.16467,78125,91044.53125,-54.69,-0.06,142.19,0.16,-54.69,-0.06,-3394.72,-0.03
