Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
15,Entry short,2023-02-15 16:35, | F:score=70 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.77 | F:is_accuracy=0 | F:trend=1 | F:rsi=51.09 | F:htf_trend=1 | F:rvol=3.56 | F:adx=20.89 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=77.02 | F:liquidity_spread=23.64 | F:return_strength=100,12538.88,2,25077.76,-61.42,-0.24,31.94,0.13,-61.42,-0.24,282.53,0.00
16,Exit short,2023-02-15 18:40,Short Exit,12596.71,1,12574.14,-22.57,-0.18,6.1,0.05,-22.57,-0.18,259.96,0.00
16,Entry short,2023-02-15 18:30, | F:score=50 | F:fresh=224 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.72 | F:is_accuracy=0 | F:trend=1 | F:rsi=57 | F:htf_trend=1 | F:rvol=0.7 | F:adx=14.49 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=15.32 | F:liquidity_distance=98.06 | F:liquidity_spread=5.59 | F:return_strength=50,12574.14,1,12574.14,-22.57,-0.18,6.1,0.05,-22.57,-0.18,259.96,0.00
17,Exit short,2023-02-16 19:45,Short Exit,12652.42,4,50552.96,-56.72,-0.11,13.48,0.03,-56.72,-0.11,203.24,0.00
17,Entry short,2023-02-16 19:35, | F:score=70 | F:fresh=57 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.34 | F:is_accuracy=0 | F:trend=1 | F:rsi=61.21 | F:htf_trend=1 | F:rvol=0.95 | F:adx=16.69 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=45.89 | F:liquidity_distance=76.7 | F:liquidity_spread=15.34 | F:return_strength=39.09,12638.24,4,50552.96,-56.72,-0.11,13.48,0.03,-56.72,-0.11,203.24,0.00
18,Exit short,2023-02-17 21:20,Short Exit,12295.98,5,61428.95,-50.95,-0.08,93.6,0.15,-50.95,-0.08,152.29,0.00
18,Entry short,2023-02-17 21:05, | F:score=70 | F:fresh=23 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.06 | F:is_accuracy=0 | F:trend=0 | F:rsi=57.02 | F:htf_trend=0 | F:rvol=0.83 | F:adx=10.83 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=16.4 | F:liquidity_distance=91.04 | F:liquidity_spread=19.87 | F:return_strength=100,12285.79,5,61428.95,-50.95,-0.08,93.6,0.15,-50.95,-0.08,152.29,0.00
19,Exit short,2023-02-21 16:35,Short Exit,12236,4,48896.72,-47.28,-0.10,139.12,0.28,-47.28,-0.10,105.01,0.00
19,Entry short,2023-02-21 15:35, | F:score=70 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.76 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.48 | F:htf_trend=0 | F:rvol=1.15 | F:adx=21.59 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=56.52 | F:liquidity_distance=92.96 | F:liquidity_spread=15.36 | F:return_strength=100,12224.18,4,48896.72,-47.28,-0.10,139.12,0.28,-47.28,-0.10,105.01,0.00
20,Exit long,2023-02-22 21:15,Long Exit,12069.84,1,12131.27,-61.43,-0.51,30.34,0.25,-61.43,-0.51,43.58,0.00
20,Entry long,2023-02-22 21:00, | F:score=65 | F:fresh=22 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=1 | F:rsi=59.19 | F:htf_trend=0 | F:rvol=5.62 | F:adx=26.43 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=59.52 | F:liquidity_spread=24.37 | F:return_strength=50,12131.27,1,12131.27,-61.43,-0.51,30.34,0.25,-61.43,-0.51,43.58,0.00
21,Exit short,2023-02-27 09:50,Short Exit,12016.32,5,60027.5,-54.1,-0.09,4.9,0.01,-54.1,-0.09,-10.52,0.00
21,Entry short,2023-02-27 09:20, | F:score=70 | F:fresh=48 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.83 | F:is_accuracy=0 | F:trend=1 | F:rsi=63.6 | F:htf_trend=0 | F:rvol=1.99 | F:adx=25.14 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50.29 | F:liquidity_distance=96.5 | F:liquidity_spread=12.49 | F:return_strength=100,12005.5,5,60027.5,-54.1,-0.09,4.9,0.01,-54.1,-0.09,-10.52,0.00
22,Exit long,2023-02-27 18:30,Long Exit,12055.55,2,24141.72,-30.62,-0.13,17.18,0.07,-30.62,-0.13,-41.14,0.00
