Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
74,Exit short,2023-06-05 16:45,Short Exit,1.66379,200000,332676,-61.03,-0.02,49.12,0.02,-61.03,-0.02,-973.4,-0.01
74,Entry short,2023-06-05 16:35, | F:score=75 | F:fresh=15 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.34 | F:is_accuracy=1 | F:trend=0 | F:rsi=48.09 | F:htf_trend=0 | F:rvol=0 | F:adx=40.93 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=45.16 | F:liquidity_distance=98 | F:liquidity_spread=13.4 | F:return_strength=100,1.66338,200000,332676,-61.03,-0.02,49.12,0.02,-61.03,-0.02,-973.4,-0.01
75,Exit short,2023-06-06 11:50,Short Exit,1.66716,137255,228747.8104,-58.17,-0.03,13.27,0.01,-58.17,-0.03,-1031.57,-0.01
75,Entry short,2023-06-06 11:45, | F:score=70 | F:fresh=8 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.85 | F:is_accuracy=0 | F:trend=0 | F:rsi=45.13 | F:htf_trend=0 | F:rvol=0 | F:adx=29.62 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=98.6 | F:liquidity_spread=7.1 | F:return_strength=100,1.66659,137255,228747.8104,-58.17,-0.03,13.27,0.01,-58.17,-0.03,-1031.57,-0.01
76,Exit long,2023-06-12 22:20,Time Stop (Bars),1.6718,58333,97498.94286,16.61,0.02,55.07,0.08,-22.73,-0.03,-1014.96,-0.01
76,Entry long,2023-06-12 19:20, | F:score=50 | F:fresh=5 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.73 | F:is_accuracy=0 | F:trend=0 | F:rsi=42.32 | F:htf_trend=0 | F:rvol=0 | F:adx=30.71 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=99.4 | F:liquidity_spread=1.7 | F:return_strength=100,1.67142,58333,97498.94286,16.61,0.02,55.07,0.08,-22.73,-0.03,-1014.96,-0.01
77,Exit long,2023-06-13 13:45,Time Stop (Bars),1.67847,63636,106752.5718,43.77,0.05,78.02,0.10,-40.44,-0.05,-971.19,-0.01
77,Entry long,2023-06-13 10:45, | F:score=75 | F:fresh=17 | F:session=1 | F:zone_type=0 | F:atr_ratio=1.14 | F:is_accuracy=1 | F:trend=1 | F:rsi=55.37 | F:htf_trend=1 | F:rvol=0 | F:adx=28.02 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=38.43 | F:liquidity_distance=95.6 | F:liquidity_spread=11.4 | F:return_strength=100,1.67755,63636,106752.5718,43.77,0.05,78.02,0.10,-40.44,-0.05,-971.19,-0.01
78,Exit short,2023-06-15 11:45,Short Exit,1.6881,81395,137328.0161,-56.18,-0.05,104.42,0.10,-56.18,-0.05,-1027.37,-0.01
78,Entry short,2023-06-15 10:05, | F:score=55 | F:fresh=80 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.29 | F:is_accuracy=1 | F:trend=1 | F:rsi=60.76 | F:htf_trend=1 | F:rvol=0 | F:adx=19.34 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=32.7 | F:liquidity_distance=95.4 | F:liquidity_spread=6.2 | F:return_strength=36.67,1.68718,81395,137328.0161,-56.18,-0.05,104.42,0.10,-56.18,-0.05,-1027.37,-0.01
