Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
319,Entry short,2024-12-10 13:20, | F:score=60 | F:fresh=38 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.55 | F:is_accuracy=1 | F:trend=1 | F:rsi=62.33 | F:htf_trend=1 | F:rvol=0 | F:adx=15.83 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.99 | F:liquidity_distance=91.4 | F:liquidity_spread=16.6 | F:return_strength=100,151.666,114897,17425968.4,-54.69,-0.05,22.79,0.02,-54.69,-0.05,-8355.16,-0.08
320,Exit short,2024-12-12 15:30,Short Exit,152.322,200362,30510724.64,-57.81,-0.03,0,0.00,-57.81,-0.03,-8412.96,-0.08
320,Entry short,2024-12-12 15:25, | F:score=75 | F:fresh=14 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.33 | F:is_accuracy=1 | F:trend=0 | F:rsi=52.01 | F:htf_trend=1 | F:rvol=0 | F:adx=14.77 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=38.39 | F:liquidity_distance=98.2 | F:liquidity_spread=17.4 | F:return_strength=50.38,152.278,200362,30510724.64,-57.81,-0.03,0,0.00,-57.81,-0.03,-8412.96,-0.08
321,Exit short,2024-12-12 20:10,Short Exit,152.456,38865,5921160.48,-26.5,-0.07,1.78,0.00,-26.5,-0.07,-8439.47,-0.08
321,Entry short,2024-12-12 20:05, | F:score=75 | F:fresh=92 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.83 | F:is_accuracy=0 | F:trend=1 | F:rsi=62.76 | F:htf_trend=1 | F:rvol=0 | F:adx=14.38 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=42.59 | F:liquidity_distance=95.8 | F:liquidity_spread=28.4 | F:return_strength=21.54,152.352,38865,5921160.48,-26.5,-0.07,1.78,0.00,-26.5,-0.07,-8439.47,-0.08
322,Exit short,2024-12-16 21:30,Time Stop (Bars),154.096,78684,12134803.85,64.5,0.08,110.06,0.14,-30.2,-0.04,-8374.96,-0.08
322,Entry short,2024-12-16 18:30, | F:score=50 | F:fresh=8 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=1 | F:rsi=48.76 | F:htf_trend=1 | F:rvol=0 | F:adx=21.05 | F:touch_count=1 | F:base_quality=80 | F:departure_strength=50 | F:liquidity_distance=96.6 | F:liquidity_spread=10.5 | F:return_strength=100,154.222,78684,12134803.85,64.5,0.08,110.06,0.14,-30.2,-0.04,-8374.96,-0.08
323,Exit long,2024-12-27 15:10,Long Exit,157.811,131356,20706171.7,147.1,0.11,147.1,0.11,-9.14,-0.01,-8227.86,-0.08
323,Entry long,2024-12-27 14:10, | F:score=50 | F:fresh=84 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.45 | F:is_accuracy=0 | F:trend=0 | F:rsi=33.06 | F:htf_trend=1 | F:rvol=0 | F:adx=36.89 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=21.96 | F:liquidity_distance=85.6 | F:liquidity_spread=10.8 | F:return_strength=43.69,157.634,131356,20706171.7,147.1,0.11,147.1,0.11,-9.14,-0.01,-8227.86,-0.08
324,Exit short,2025-01-02 14:25,Short Exit,157.086,154148,24237614.93,146.83,0.10,146.83,0.10,-49.92,-0.03,-8081.04,-0.08
324,Entry short,2025-01-02 13:35, | F:score=70 | F:fresh=104 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.31 | F:is_accuracy=0 | F:trend=1 | F:rsi=71.52 | F:htf_trend=1 | F:rvol=0 | F:adx=34.53 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.23 | F:liquidity_distance=93.6 | F:liquidity_spread=11.8 | F:return_strength=66.47,157.236,154148,24237614.93,146.83,0.10,146.83,0.10,-49.92,-0.03,-8081.04,-0.08
