Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
27,Entry long,2023-05-15 14:35," | F:75,19,1,0,0.58,0,1,55.49,1,0,47.54,0,60,36.4,99.2,9.7,36.67",170.225,80081,13631788.22,-38.33,-0.04,119.12,0.12,-38.33,-0.04,130.36,0.00
28,Exit long,2023-05-24 17:10,Long Exit,171.841,53003,9113971.856,-42.46,-0.06,2.3,0.00,-42.46,-0.06,87.9,0.00
28,Entry long,2023-05-24 17:00," | F:75,19,2,0,0.98,1,1,53.04,1,0,23.67,0,60,49.25,79.4,21,39.51",171.952,53003,9113971.856,-42.46,-0.06,2.3,0.00,-42.46,-0.06,87.9,0.00
29,Exit long,2023-05-25 09:00,Long Exit,172.185,61227,10548126.33,-41.27,-0.05,56.63,0.07,-41.27,-0.05,46.64,0.00
29,Entry long,2023-05-25 08:10," | F:70,72,0,0,0.54,0,1,45.12,1,0,20.14,0,20,46.26,97.8,19.2,38.46",172.279,61227,10548126.33,-41.27,-0.05,56.63,0.07,-41.27,-0.05,46.64,0.00
30,Exit long,2023-05-29 15:30,Long Exit,173.068,146104,25290017.98,-29.08,-0.02,13.5,0.01,-29.08,-0.02,17.55,0.00
30,Entry long,2023-05-29 15:20," | F:60,34,2,0,1.12,1,0,41.31,1,0,23.14,0,100,47.51,98.8,10.6,39.09",173.096,146104,25290017.98,-29.08,-0.02,13.5,0.01,-29.08,-0.02,17.55,0.00
31,Exit long,2023-06-05 21:20,Long Exit,173.649,102746,17846671.96,-35.23,-0.03,60.91,0.05,-35.23,-0.03,-17.67,0.00
31,Entry long,2023-06-05 20:40," | F:50,16,2,0,0.67,0,0,54.15,1,0,22.27,0,60,50,97.6,5.2,32.86",173.697,102746,17846671.96,-35.23,-0.03,60.91,0.05,-35.23,-0.03,-17.67,0.00
32,Exit long,2023-06-09 15:30,Long Exit,175.008,69712,12205734.66,-40.14,-0.05,88.3,0.10,-40.14,-0.05,-57.81,0.00
32,Entry long,2023-06-09 14:35," | F:80,47,1,0,1.32,1,1,49.79,1,0,10.48,0,80,40.75,98.6,20.4,34.6",175.088,69712,12205734.66,-40.14,-0.05,88.3,0.10,-40.14,-0.05,-57.81,0.00
33,Exit long,2023-06-13 12:00,Time Stop (Bars),175.325,15848,2775697.96,20.43,0.10,36.43,0.18,-2.61,-0.01,-37.38,0.00
33,Entry long,2023-06-13 09:00," | F:75,19,0,0,0.58,1,1,80.23,1,0,23.38,0,60,54.01,99,20.1,36.67",175.145,15848,2775697.96,20.43,0.10,36.43,0.18,-2.61,-0.01,-37.38,0.00
34,Exit long,2023-06-15 14:30,Long Exit,178.833,138351,24717789.66,170.85,0.10,170.85,0.10,-10.86,-0.01,133.47,0.00
34,Entry long,2023-06-15 14:15," | F:80,12,1,0,1.04,1,1,48.32,1,0,17.69,0,80,36.29,94.2,8.2,36.67",178.66,138351,24717789.66,170.85,0.10,170.85,0.10,-10.86,-0.01,133.47,0.00
35,Exit long,2023-06-19 15:25,Long Exit,181.655,69539,12637809.24,-40.19,-0.05,2.94,0.00,-40.19,-0.05,93.28,0.00
35,Entry long,2023-06-19 15:10," | F:70,14,2,0,0.73,0,1,46.07,1,0,20.91,0,60,45.47,99.2,5.2,36.67",181.737,69539,12637809.24,-40.19,-0.05,2.94,0.00,-40.19,-0.05,93.28,0.00
36,Exit long,2023-06-26 13:15,Long Exit,182.211,53013,9665648.238,-42.4,-0.06,53.09,0.08,-42.4,-0.06,50.88,0.00
36,Entry long,2023-06-26 12:25," | F:60,8,1,0,0.22,1,0,47.73,1,0,16.68,0,60,47.28,80.4,10.5,36.67",182.326,53013,9665648.238,-42.4,-0.06,53.09,0.08,-42.4,-0.06,50.88,0.00
37,Exit short,2023-06-26 17:50,Short Exit,182.551,46012,8393278.98,-43.52,-0.07,38.72,0.07,-43.52,-0.07,7.35,0.00
37,Entry short,2023-06-26 17:10," | F:75,87,2,1,0.93,1,1,66.22,1,0,31.27,0,80,40.28,93.8,47.4,50",182.415,46012,8393278.98,-43.52,-0.07,38.72,0.07,-43.52,-0.07,7.35,0.00
38,Exit long,2023-06-27 22:30,Long Exit,183.756,91154,16730222.85,138.45,0.12,138.45,0.12,-7.62,-0.01,145.8,0.00
38,Entry long,2023-06-27 20:40," | F:75,16,2,0,1.05,0,1,50.68,1,0,18.03,0,80,47.34,98.6,11.5,44.61",183.538,91154,16730222.85,138.45,0.12,138.45,0.12,-7.62,-0.01,145.8,0.00
39,Exit long,2023-06-29 18:10,Long Exit,182.41,59272,10817851.26,-41.86,-0.06,15.6,0.02,-41.86,-0.06,103.94,0.00
39,Entry long,2023-06-29 17:45," | F:80,13,2,0,0.63,1,0,49.28,1,0,13.44,0,80,42.19,99.4,16.8,50",182.512,59272,10817851.26,-41.86,-0.06,15.6,0.02,-41.86,-0.06,103.94,0.00
40,Exit long,2023-07-13 18:30,Time Stop (Bars),180.891,10441,1892483.455,-27.44,-0.20,15.68,0.11,-31.67,-0.23,76.49,0.00
40,Entry long,2023-07-13 15:30," | F:80,39,2,0,0.75,1,1,64.79,0,0,26.33,0,60,43.91,60.6,32.9,36.67",181.255,10441,1892483.455,-27.44,-0.20,15.68,0.11,-31.67,-0.23,76.49,0.00
41,Exit short,2023-07-14 11:40,Short Exit,181.405,88637,16074054.04,-37.22,-0.03,48.77,0.04,-37.22,-0.03,39.27,0.00
41,Entry short,2023-07-14 11:20," | F:60,12,1,1,0.71,1,1,60.87,0,0,32.42,0,60,44.91,93.8,11.7,36.67",181.347,88637,16074054.04,-37.22,-0.03,48.77,0.04,-37.22,-0.03,39.27,0.00
