score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
100,7,1,0,0.79,1,1,43.18,1,0.0,13.99,1,100,48.74,0.6,2.8,98.8,2.8,100.0,0
95,27,2,0,0.81,1,1,50.69,1,0.0,34.75,1,100,44.84,0.1,5.5,99.8,5.5,100.0,1
100,86,2,1,0.95,1,0,64.26,0,0.0,19.08,1,0,33.33,2.0,8.9,96.0,8.9,100.0,0
95,40,0,0,0.96,1,1,45.47,0,0.0,16.96,1,100,59.6,0.5,5.2,99.0,5.2,29.17,0
65,9,2,0,0.77,0,1,59.94,0,0.0,14.66,1,100,50.0,1.8,4.2,96.4,4.2,59.49,0
70,7,2,0,0.58,0,0,31.06,0,0.0,43.11,1,100,44.5,1.6,0.5,96.8,0.5,76.93,1
100,18,2,1,0.86,1,0,43.28,1,0.0,32.09,1,100,42.44,3.6,2.7,92.8,2.7,26.67,1
80,17,2,0,0.96,1,0,45.32,0,0.0,33.62,1,100,52.2,2.4,3.8,95.2,3.8,26.67,1
85,16,0,1,0.51,0,0,47.52,0,0.0,16.07,1,100,50.0,2.6,2.3,94.8,2.3,30.95,0
90,149,2,1,0.66,0,1,63.57,0,0.0,20.84,1,100,55.6,2.1,10.0,95.8,10.0,30.3,0
95,22,2,0,0.62,0,1,53.15,1,0.0,34.33,1,100,47.78,0.7,5.7,98.6,5.7,100.0,0
90,7,1,1,0.71,0,0,40.41,0,0.0,24.73,1,100,50.0,0.9,2.0,98.2,2.0,100.0,0
95,28,2,0,0.64,0,1,46.78,1,0.0,27.48,1,100,49.49,0.2,5.6,99.6,5.6,100.0,1
90,11,1,0,0.77,0,1,49.85,1,0.0,24.0,1,100,50.0,3.6,3.9,92.8,3.9,100.0,0
85,15,1,1,0.45,0,0,49.96,0,0.0,11.7,1,0,50.0,2.2,4.8,95.6,4.8,72.08,1
100,66,2,0,0.68,1,1,41.5,0,0.0,19.07,1,100,38.72,0.3,2.1,99.4,2.1,31.25,0
100,15,1,1,0.78,1,0,53.87,0,0.0,16.2,1,0,36.67,2.8,5.8,94.4,5.8,29.71,0
95,162,2,0,0.87,1,0,32.52,1,0.0,36.2,1,0,24.87,1.0,4.9,98.0,4.9,100.0,1
90,22,2,0,0.57,0,1,43.51,1,0.0,22.94,1,100,53.93,0.5,8.7,99.0,8.7,100.0,0
90,11,1,0,0.64,0,1,54.98,1,0.0,17.26,1,100,50.0,1.2,4.0,97.6,4.0,100.0,1
95,12,1,0,0.59,0,1,58.11,1,0.0,16.08,1,0,22.7,0.2,4.1,99.6,4.1,50.0,0
95,7,1,1,0.74,1,0,38.08,1,0.0,27.89,1,100,53.6,0.7,3.0,98.6,3.0,100.0,0
100,9,2,1,0.48,1,0,45.93,1,0.0,25.33,1,100,49.15,0.7,6.5,98.6,6.5,60.0,0
75,242,2,0,0.3,1,0,28.1,0,0.0,13.92,1,100,37.11,1.7,12.5,96.6,12.5,36.67,0
90,9,2,0,0.56,0,1,54.09,1,0.0,16.77,1,100,36.51,0.7,4.9,98.6,4.9,56.45,0
90,120,2,0,0.48,0,0,34.99,1,0.0,22.75,1,100,42.23,0.2,6.3,99.6,6.3,100.0,0
