Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
338,Entry long,2025-03-27 07:55," | F:65,51,0,0,0.65,0,1,33.2,0,3.11,28.69,1,40,50,99.2,4,50",1.07694,46875,50481.5625,31.88,0.06,31.88,0.06,-5.62,-0.01,-673.85,-0.01
339,Exit long,2025-04-04 12:05,Long Exit,1.09742,10791,11872.90566,-30.65,-0.26,7.45,0.06,-30.65,-0.26,-704.5,-0.01
339,Entry long,2025-04-04 11:05," | F:75,288,1,0,0.73,0,0,22,1,1.29,46.54,1,60,46.58,84.6,8.4,50",1.10026,10791,11872.90566,-30.65,-0.26,7.45,0.06,-30.65,-0.26,-704.5,-0.01
340,Exit short,2025-04-04 15:10,Short Exit,1.10484,9677,10707.79404,16.26,0.15,16.26,0.15,-7.45,-0.07,-688.24,-0.01
340,Entry short,2025-04-04 14:45," | F:45,70,1,1,0.48,0,1,66.93,1,1.01,32.79,1,80,50,98.6,8.8,50",1.10652,9677,10707.79404,16.26,0.15,16.26,0.15,-7.45,-0.07,-688.24,-0.01
341,Exit long,2025-04-09 05:55,Long Exit,1.10197,56604,62344.21164,31.7,0.05,31.7,0.05,-23.21,-0.04,-656.54,-0.01
341,Entry long,2025-04-09 05:45," | F:70,23,0,0,0.61,0,1,49.46,1,0.57,32.38,1,80,52.11,88.2,12.8,36.67",1.10141,56604,62344.21164,31.7,0.05,31.7,0.05,-23.21,-0.04,-656.54,-0.01
342,Exit short,2025-04-09 23:20,Time Stop (Bars),1.0945,1442,1580.48968,2.22,0.14,6.76,0.43,-8.54,-0.54,-654.32,-0.01
342,Entry short,2025-04-09 20:20," | F:60,22,2,1,0.22,1,0,23.42,1,2.4,31.27,1,100,50,86,8.7,50",1.09604,1442,1580.48968,2.22,0.14,6.76,0.43,-8.54,-0.54,-654.32,-0.01
343,Exit short,2025-04-14 14:55,Short Exit,1.13808,24194,27567.12748,32.42,0.12,32.42,0.12,-0.73,0.00,-621.9,-0.01
343,Entry short,2025-04-14 14:50," | F:60,31,1,1,0.47,1,1,53.64,1,1.12,14.31,1,60,50,94.6,12.7,36.67",1.13942,24194,27567.12748,32.42,0.12,32.42,0.12,-0.73,0.00,-621.9,-0.01
344,Exit short,2025-04-15 08:15,Short Exit,1.13645,55556,63103.2826,-33.33,-0.05,27.78,0.04,-33.33,-0.05,-655.24,-0.01
344,Entry short,2025-04-15 07:50," | F:70,109,0,1,1.24,0,1,66.02,1,1.36,27.75,1,100,40.27,98.4,19.9,36.67",1.13585,55556,63103.2826,-33.33,-0.05,27.78,0.04,-33.33,-0.05,-655.24,-0.01
345,Exit long,2025-04-15 15:55,Long Exit,1.13199,10345,11726.0575,-15.62,-0.13,1.97,0.02,-15.62,-0.13,-670.86,-0.01
345,Entry long,2025-04-15 15:45," | F:45,11,2,0,0.6,0,0,52.38,1,1.11,25.33,1,60,50,98.6,8.5,36.67",1.1335,10345,11726.0575,-15.62,-0.13,1.97,0.02,-15.62,-0.13,-670.86,-0.01
346,Exit long,2025-04-17 13:55,Long Exit,1.13588,26549,30188.07143,-31.59,-0.10,8.5,0.03,-31.59,-0.10,-702.45,-0.01
346,Entry long,2025-04-17 13:10," | F:75,34,1,0,1.01,0,0,47.18,1,1.42,14.13,1,60,37.67,90.2,6.1,16.67",1.13707,26549,30188.07143,-31.59,-0.10,8.5,0.03,-31.59,-0.10,-702.45,-0.01
347,Exit long,2025-04-17 21:50,Long Exit,1.13718,10563,11995.76532,16.27,0.14,16.27,0.14,-3.27,-0.03,-686.18,-0.01
347,Entry long,2025-04-17 21:15," | F:55,11,2,0,0.43,1,0,54.23,1,1.03,14.32,1,100,50,99,4,39.16",1.13564,10563,11995.76532,16.27,0.14,16.27,0.14,-3.27,-0.03,-686.18,-0.01
348,Exit long,2025-04-22 03:00,Long Exit,1.1506,39474,45451.15308,-32.37,-0.07,0,0.00,-32.37,-0.07,-718.55,-0.01
348,Entry long,2025-04-22 02:55," | F:70,24,3,0,0.95,0,1,45.14,1,1.81,21.65,1,60,45.84,88.8,8.1,37.43",1.15142,39474,45451.15308,-32.37,-0.07,0,0.00,-32.37,-0.07,-718.55,-0.01
349,Exit long,2025-04-23 07:10,Long Exit,1.13718,32967,37521.39105,-31.98,-0.09,17.14,0.05,-31.98,-0.09,-750.53,-0.01
349,Entry long,2025-04-23 06:40," | F:45,39,0,0,0.88,0,0,41.66,1,0.79,25.57,1,40,50,94.8,8.1,36.67",1.13815,32967,37521.39105,-31.98,-0.09,17.14,0.05,-31.98,-0.09,-750.53,-0.01
350,Exit short,2025-04-23 21:25,Short Exit,1.13194,14151,16034.21508,16.13,0.10,16.13,0.10,-6.93,-0.04,-734.4,-0.01
350,Entry short,2025-04-23 20:40," | F:70,8,2,1,0.67,0,0,36.21,0,0.65,25.8,1,40,31.87,93.6,7.4,36.67",1.13308,14151,16034.21508,16.13,0.10,16.13,0.10,-6.93,-0.04,-734.4,-0.01
351,Exit long,2025-04-25 11:30,Long Exit,1.13467,16393,18631.62808,-30.98,-0.17,3.44,0.02,-30.98,-0.17,-765.38,-0.01
351,Entry long,2025-04-25 10:30," | F:70,5,1,0,1.06,0,1,65.19,0,1.14,30.84,1,100,50,99,11.4,36.67",1.13656,16393,18631.62808,-30.98,-0.17,3.44,0.02,-30.98,-0.17,-765.38,-0.01
352,Exit short,2025-04-29 04:40,Short Exit,1.13975,24793,28290.30058,32.48,0.11,32.48,0.11,-14.38,-0.05,-732.9,-0.01
352,Entry short,2025-04-29 02:05," | F:50,13,3,1,0.34,0,1,40.03,1,3,25.39,1,40,58.74,91.6,4.4,42.39",1.14106,24793,28290.30058,32.48,0.11,32.48,0.11,-14.38,-0.05,-732.9,-0.01
353,Exit short,2025-04-30 16:05,Short Exit,1.13623,22901,26053.32265,32.52,0.12,32.52,0.12,-2.75,-0.01,-700.38,-0.01
353,Entry short,2025-04-30 15:45," | F:75,66,2,1,0.52,0,0,54.39,1,1.74,17.97,1,80,59.42,99,12.2,74.78",1.13765,22901,26053.32265,32.52,0.12,32.52,0.12,-2.75,-0.01,-700.38,-0.01
354,Exit long,2025-05-01 15:30,Long Exit,1.1331,26786,30318.80554,32.41,0.11,32.41,0.11,-6.16,-0.02,-667.97,-0.01
354,Entry long,2025-05-01 15:25," | F:55,55,2,0,0.7,0,0,45.78,0,1.03,23.27,1,100,47.99,93.4,19.3,36.67",1.13189,26786,30318.80554,32.41,0.11,32.41,0.11,-6.16,-0.02,-667.97,-0.01
355,Exit short,2025-05-01 21:25,Short Exit,1.12797,30000,33854.7,15.6,0.05,15.6,0.05,-0.9,0.00,-652.37,-0.01
355,Entry short,2025-05-01 21:15," | F:75,13,2,1,0.71,1,0,51.83,0,1,13.79,1,80,47.25,94.2,5.1,36.67",1.12849,30000,33854.7,15.6,0.05,15.6,0.05,-0.9,0.00,-652.37,-0.01
356,Exit long,2025-05-02 00:00,Long Exit,1.12832,60000,67732.8,-33.6,-0.05,27.6,0.04,-33.6,-0.05,-685.97,-0.01
356,Entry long,2025-05-01 23:30," | F:45,16,2,0,0.59,0,0,50.72,0,1,13.64,1,80,50,99.8,5.9,36.67",1.12888,60000,67732.8,-33.6,-0.05,27.6,0.04,-33.6,-0.05,-685.97,-0.01
357,Exit long,2025-05-02 10:05,Long Exit,1.13305,45455,51470.96925,31.82,0.06,31.82,0.06,-8.64,-0.02,-654.15,-0.01
357,Entry long,2025-05-02 09:45," | F:65,7,0,0,0.93,0,1,61.46,0,1.19,31.47,1,80,50,90.8,5.1,36.67",1.13235,45455,51470.96925,31.82,0.06,31.82,0.06,-8.64,-0.02,-654.15,-0.01
358,Exit short,2025-05-05 11:45,Short Exit,1.13323,28846,32657.42198,-31.73,-0.10,28.27,0.09,-31.73,-0.10,-685.88,-0.01
358,Entry short,2025-05-05 10:00," | F:75,8,1,1,0.47,1,0,38.18,0,1.38,19.41,1,60,50,99.8,9.9,36.67",1.13213,28846,32657.42198,-31.73,-0.10,28.27,0.09,-31.73,-0.10,-685.88,-0.01
359,Exit short,2025-05-06 09:35,Short Exit,1.13252,50847,57552.19389,-33.05,-0.06,14.75,0.03,-33.05,-0.06,-718.93,-0.01
359,Entry short,2025-05-06 09:10," | F:50,12,0,1,0.86,0,1,52.15,0,1.73,19.22,1,60,51.36,96.6,3.7,36.67",1.13187,50847,57552.19389,-33.05,-0.06,14.75,0.03,-33.05,-0.06,-718.93,-0.01
360,Exit long,2025-05-06 12:25,Long Exit,1.13193,15152,17166.91296,-15.91,-0.09,0,0.00,-15.91,-0.09,-734.84,-0.01
360,Entry long,2025-05-06 12:05," | F:70,33,1,0,0.6,0,1,43.78,0,0.92,20.42,1,40,42.17,97.4,13.4,23.86",1.13298,15152,17166.91296,-15.91,-0.09,0,0.00,-15.91,-0.09,-734.84,-0.01
