pair_xauusd,pair_gbpjpy,pair_usdjpy,pair_gbpcad,pair_chfjpy,pair_nas100,entry_default,entry_flip,entry_boc,trade_score_numeric,session_london,session_newyork,session_tokyo,session_sydney,rsi,news_event,zone_supply,liquidity_distance,sl_pips,potential_rr,close_bullish,win,source,pair_eurusd
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,145.0,368.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,145.0,164.0,2.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,1,137.0,575.0,1.5,1,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,0,0,1,1,50.0,0,1,137.0,164.0,2.5,1,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,1,1,0,0,50.0,0,0,34.0,347.0,1.5,0,0,notion,0
1,0,0,0,0,0,0,0,1,3.0,0,1,0,0,50.0,0,1,54.0,148.0,2.31,1,1,notion,0
1,0,0,0,0,0,1,0,0,1.0,1,1,0,0,50.0,0,0,10.0,252.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,1.0,0,0,1,1,50.0,0,1,23.0,130.0,2.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,1.0,0,0,1,1,50.0,0,1,23.0,142.0,2.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,1.0,0,0,1,1,50.0,0,1,5.0,186.0,2.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,1,19.0,214.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,1,18.0,78.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,1,50.0,0,1,41.0,136.0,2.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,77.0,336.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,44.0,190.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,0,1,1,50.0,0,0,114.0,232.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,0,114.0,70.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,1,58.0,195.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,8.0,244.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,1,36.0,92.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,1,0,50.0,0,1,94.0,267.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,1,0,50.0,0,0,32.0,95.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,0,62.0,197.0,2.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,83.0,323.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,1,0,0,50.0,0,0,44.0,329.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,142.0,206.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,15.0,277.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,1,0,0,50.0,0,0,88.0,194.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,93.0,111.0,2.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,50.0,221.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,1,227.0,246.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,114.0,272.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,37.0,348.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,36.0,182.0,2.0,1,1,notion,0
1,0,0,0,0,0,0,1,0,4.0,0,1,0,0,50.0,0,0,63.0,144.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,13.0,316.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,13.0,316.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,0,26.0,376.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,1,0,0,50.0,0,0,18.0,307.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,0,202.0,606.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,167.0,759.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,1,87.0,399.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,1,29.0,399.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,0,0,0,50.0,0,1,315.0,460.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,0,50.0,0,1,192.0,175.0,2.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,73.0,299.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,156.0,233.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,219.0,588.0,1.5,1,1,notion,0
1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0.0,0.0,2.0,0,0,notion,0
1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0.0,0.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,0,76.0,323.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,1,0,0,50.0,0,0,35.0,329.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,35.0,154.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,0,1,0,0,50.0,0,1,100.0,131.0,1.5,0,1,notion,0
